TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-07-02,2025-07-02,FO,NSE,STO,47081,,ABCAPITAL,,2025-07-31,2025-07-31,270.0,CE,ABCAPITAL25JUL270CE,14.5,14.75,11.35,12.05,11.85,16.65,273.7,12.05,1429100,-9300,270,236368955.0,261,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,37146,,ABCAPITAL,,2025-08-28,2025-08-28,310.0,PE,ABCAPITAL25AUG310PE,0.0,0.0,0.0,63.1,0.0,63.1,273.7,40.05,0,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,63001,,ABCAPITAL,,2025-09-30,2025-09-30,270.0,PE,ABCAPITAL25SEP270PE,0.0,0.0,0.0,17.65,0.0,17.65,273.7,18.35,0,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,63011,,ABCAPITAL,,2025-09-30,2025-09-30,320.0,PE,ABCAPITAL25SEP320PE,0.0,0.0,0.0,48.4,0.0,48.4,273.7,50.25,0,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,58989,,ABCAPITAL,,2025-07-31,2025-07-31,225.0,CE,ABCAPITAL25JUL225CE,0.0,0.0,0.0,49.75,49.75,49.75,273.7,50.3,12400,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,74839,,ABCAPITAL,,2025-07-31,2025-07-31,262.5,CE,ABCAPITAL25JUL262.5CE,16.65,17.8,16.65,17.05,17.05,19.6,273.7,19.6,77500,0,4,3467505.0,4,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,40403,,ABCAPITAL,,2025-08-28,2025-08-28,275.0,CE,ABCAPITAL25AUG275CE,0.0,0.0,0.0,6.25,0.0,6.25,273.7,18.4,0,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,43667,,ABCAPITAL,,2025-08-28,2025-08-28,285.0,CE,ABCAPITAL25AUG285CE,0.0,0.0,0.0,6.0,0.0,6.0,273.7,14.1,0,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,58984,,ABCAPITAL,,2025-07-31,2025-07-31,210.0,PE,ABCAPITAL25JUL210PE,0.0,0.0,0.0,0.25,0.25,0.25,273.7,0.1,74400,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,58996,,ABCAPITAL,,2025-07-31,2025-07-31,240.0,PE,ABCAPITAL25JUL240PE,0.7,0.85,0.55,0.7,0.65,0.6,273.7,0.7,942400,21700,82,61191210.0,79,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,74840,,ABCAPITAL,,2025-07-31,2025-07-31,262.5,PE,ABCAPITAL25JUL262.5PE,3.45,4.45,3.2,4.05,4.0,2.75,273.7,4.05,99200,-12400,49,40474685.0,49,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,49517,,ABCAPITAL,,2025-07-31,2025-07-31,280.0,PE,ABCAPITAL25JUL280PE,8.9,12.65,8.9,11.75,11.8,8.35,273.7,11.75,744000,-37200,670,604592225.0,597,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,74848,,ABCAPITAL,,2025-07-31,2025-07-31,285.0,PE,ABCAPITAL25JUL285PE,13.0,15.85,12.2,14.9,14.85,10.95,273.7,14.9,93000,-12400,46,42733965.0,46,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,40398,,ABCAPITAL,,2025-07-31,2025-07-31,305.0,PE,ABCAPITAL25JUL305PE,0.0,0.0,0.0,69.8,0.0,69.8,273.7,33.3,0,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,63004,,ABCAPITAL,,2025-09-30,2025-09-30,290.0,CE,ABCAPITAL25SEP290CE,0.0,0.0,0.0,19.6,0.0,19.6,273.7,17.35,0,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,38796,,ABCAPITAL,,2025-08-28,2025-08-28,290.0,CE,ABCAPITAL25AUG290CE,8.5,8.55,8.5,8.55,8.55,10.8,273.7,12.25,9300,3100,2,1850855.0,2,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,58999,,ABCAPITAL,,2025-07-31,2025-07-31,250.0,CE,ABCAPITAL25JUL250CE,30.5,30.5,26.85,26.85,26.85,33.2,273.7,26.85,1457000,-3100,10,8635980.0,5,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,40400,,ABCAPITAL,,2025-07-31,2025-07-31,310.0,PE,ABCAPITAL25JUL310PE,0.0,0.0,0.0,29.0,29.0,29.0,273.7,37.5,12400,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,74853,,ABCAPITAL,,2025-07-31,2025-07-31,295.0,PE,ABCAPITAL25JUL295PE,0.0,0.0,0.0,19.95,19.95,19.95,273.7,25.45,34100,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,58990,,ABCAPITAL,,2025-07-31,2025-07-31,225.0,PE,ABCAPITAL25JUL225PE,0.3,0.3,0.3,0.3,0.3,0.3,273.7,0.5,52700,6200,2,1396860.0,2,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,35098,,ABCAPITAL,,2025-07-31,2025-07-31,300.0,CE,ABCAPITAL25JUL300CE,3.5,3.55,1.95,2.15,2.1,3.5,273.7,2.15,1007500,124000,726,680441320.0,550,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,43661,,ABCAPITAL,,2025-07-31,2025-07-31,287.5,CE,ABCAPITAL25JUL287.5CE,5.4,5.65,4.4,4.65,4.65,7.05,273.7,4.65,111600,-12400,49,44412925.0,47,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,49514,,ABCAPITAL,,2025-07-31,2025-07-31,265.0,CE,ABCAPITAL25JUL265CE,17.0,17.0,14.3,15.05,15.0,20.4,273.7,15.05,427800,-3100,31,26932180.0,31,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,74976,,ABCAPITAL,,2025-08-28,2025-08-28,245.0,CE,ABCAPITAL25AUG245CE,0.0,0.0,0.0,10.95,0.0,10.95,273.7,36.7,0,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,74984,,ABCAPITAL,,2025-08-28,2025-08-28,265.0,CE,ABCAPITAL25AUG265CE,0.0,0.0,0.0,6.2,0.0,6.2,273.7,23.6,0,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,43669,,ABCAPITAL,,2025-08-28,2025-08-28,300.0,CE,ABCAPITAL25AUG300CE,0.0,0.0,0.0,8.55,8.55,8.55,273.7,9.15,3100,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,63000,,ABCAPITAL,,2025-09-30,2025-09-30,270.0,CE,ABCAPITAL25SEP270CE,0.0,0.0,0.0,28.8,0.0,28.8,273.7,26.1,0,0,0,0.0,0,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,49513,,ABCAPITAL,,2025-07-31,2025-07-31,255.0,PE,ABCAPITAL25JUL255PE,1.85,2.65,1.8,2.2,2.2,1.6,273.7,2.2,492900,0,103,82136050.0,98,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,49515,,ABCAPITAL,,2025-07-31,2025-07-31,265.0,PE,ABCAPITAL25JUL265PE,3.75,5.4,3.7,4.8,4.8,3.2,273.7,4.8,638600,-43400,257,214930595.0,232,F1,3100,,,,,
2025-07-02,2025-07-02,FO,NSE,STO,74977,,ABCAPITAL,,2025-08-28,2025-08-28,245.0,PE,ABCAPITAL25AUG245PE,0.0,0.0,0.0,30.65,0.0,30.65,273.7,5.65,0,0,0,0.0,0,F1,3100,,,,,
