INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,28-Dec-2023,0.0,XX,47500.2,47769.95,47368.15,47491.85,47491.85,117715,839691.08,1994775,-35880,11-DEC-2023,
FUTIDX,BANKNIFTY,25-Jan-2024,0.0,XX,47789.25,48038.0,47654.25,47773.25,47773.25,10340,74191.86,344535,53250,11-DEC-2023,
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,48035.9,48319.9,47915.05,48037.5,48037.5,2647,19107.03,68370,4515,11-DEC-2023,
FUTIDX,FINNIFTY,26-Dec-2023,0.0,XX,21300.0,21384.95,21217.9,21279.4,21279.4,2484,21162.32,67480,3520,11-DEC-2023,
FUTIDX,FINNIFTY,30-Jan-2024,0.0,XX,21405.0,21470.0,21378.85,21412.65,21412.65,23,196.95,3320,160,11-DEC-2023,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,21546.4,21546.4,21473.65,21473.65,21473.65,4,34.44,560,120,11-DEC-2023,
FUTIDX,MIDCPNIFTY,22-Dec-2023,0.0,XX,10008.0,10062.5,9998.9,10053.15,10053.15,2812,21166.25,522600,36075,11-DEC-2023,
FUTIDX,MIDCPNIFTY,29-Jan-2024,0.0,XX,10017.1,10050.0,10004.5,10032.3,10032.3,49,368.6,10650,2175,11-DEC-2023,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10000.05,10102.85,10000.0,10031.1,10031.1,11,82.7,2775,300,11-DEC-2023,
FUTIDX,NIFTY,28-Dec-2023,0.0,XX,21086.55,21119.4,21032.0,21084.45,21084.45,78735,829730.04,11620400,-29050,11-DEC-2023,
FUTIDX,NIFTY,25-Jan-2024,0.0,XX,21197.55,21239.0,21158.0,21207.15,21207.15,5380,57031.87,1456950,73700,11-DEC-2023,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21297.05,21343.0,21266.25,21312.65,21312.65,2849,30356.16,266500,1250,11-DEC-2023,
FUTSTK,AARTIIND,28-Dec-2023,0.0,XX,572.75,579.2,572.05,576.55,576.55,1779,10244.33,10324000,-90000,11-DEC-2023,
FUTSTK,AARTIIND,25-Jan-2024,0.0,XX,577.55,583.0,576.5,580.4,580.4,270,1565.91,1870000,89000,11-DEC-2023,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,581.95,584.95,580.55,584.0,584.0,13,75.77,306000,2000,11-DEC-2023,
FUTSTK,ABB,28-Dec-2023,0.0,XX,4784.15,4848.0,4778.75,4811.75,4811.75,1666,10022.51,1051750,-26000,11-DEC-2023,
FUTSTK,ABB,25-Jan-2024,0.0,XX,4822.1,4875.0,4822.1,4844.9,4844.9,81,490.63,25875,2625,11-DEC-2023,
FUTSTK,ABB,29-Feb-2024,0.0,XX,4860.0,4860.0,4858.0,4858.0,4858.25,2,12.14,2250,250,11-DEC-2023,
FUTSTK,ABBOTINDIA,28-Dec-2023,0.0,XX,23003.0,23170.0,22776.0,23121.9,23121.9,713,6571.96,103760,-4120,11-DEC-2023,
FUTSTK,ABBOTINDIA,25-Jan-2024,0.0,XX,23007.55,23323.8,23007.55,23300.6,23300.6,14,129.68,1840,160,11-DEC-2023,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,0.0,0.0,0.0,24000.0,23390.1,0,0.0,80,0,11-DEC-2023,
