INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,28-Dec-2023,0.0,XX,47350.0,47447.2,47111.55,47396.25,47396.25,127010,900973.02,1913490,-87015,13-DEC-2023,
FUTIDX,BANKNIFTY,25-Jan-2024,0.0,XX,47666.4,47744.25,47439.2,47697.95,47697.95,8702,62107.04,431325,-11805,13-DEC-2023,
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,47872.5,47999.0,47701.6,47966.65,47966.65,2300,16508.4,70170,1365,13-DEC-2023,
FUTIDX,FINNIFTY,26-Dec-2023,0.0,XX,21217.0,21288.8,21146.0,21260.0,21260.0,1442,12245.81,68280,2120,13-DEC-2023,
FUTIDX,FINNIFTY,30-Jan-2024,0.0,XX,21330.0,21401.5,21300.0,21398.9,21398.9,24,205.17,3240,-80,13-DEC-2023,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,21430.0,21573.65,21430.0,21516.35,21516.35,5,43.02,440,-120,13-DEC-2023,
FUTIDX,MIDCPNIFTY,22-Dec-2023,0.0,XX,10008.1,10151.3,9988.65,10126.0,10126.0,3196,24110.35,555750,25575,13-DEC-2023,
FUTIDX,MIDCPNIFTY,29-Jan-2024,0.0,XX,9992.4,10158.3,9892.35,10122.65,10122.65,133,1002.64,17475,6600,13-DEC-2023,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,9990.0,10188.25,9986.45,10188.25,10188.25,4,30.12,3225,0,13-DEC-2023,
FUTIDX,NIFTY,28-Dec-2023,0.0,XX,21039.95,21048.95,20900.1,21033.95,21033.95,129598,1359638.57,10887200,-428700,13-DEC-2023,
FUTIDX,NIFTY,25-Jan-2024,0.0,XX,21210.0,21210.0,21028.65,21160.25,21160.25,10404,109781.46,1533200,17550,13-DEC-2023,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21267.0,21287.95,21140.0,21271.15,21271.15,3253,34502.38,323650,34600,13-DEC-2023,
FUTSTK,AARTIIND,28-Dec-2023,0.0,XX,566.4,576.25,566.4,574.55,574.55,1973,11285.89,10055000,-95000,13-DEC-2023,
FUTSTK,AARTIIND,25-Jan-2024,0.0,XX,576.05,580.35,570.7,577.6,577.6,306,1764.58,2154000,-10000,13-DEC-2023,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,580.35,583.4,576.0,583.05,583.05,45,261.13,400000,27000,13-DEC-2023,
FUTSTK,ABB,28-Dec-2023,0.0,XX,4748.15,4811.0,4703.65,4797.8,4797.8,1962,11679.36,1027250,-7375,13-DEC-2023,
FUTSTK,ABB,25-Jan-2024,0.0,XX,4773.1,4837.0,4744.5,4831.25,4831.25,118,708.56,31375,3250,13-DEC-2023,
FUTSTK,ABB,29-Feb-2024,0.0,XX,0.0,0.0,0.0,4858.0,4836.6,0,0.0,2250,0,13-DEC-2023,
FUTSTK,ABBOTINDIA,28-Dec-2023,0.0,XX,22964.9,23065.45,22855.6,22952.95,22952.95,422,3873.64,106160,1200,13-DEC-2023,
FUTSTK,ABBOTINDIA,25-Jan-2024,0.0,XX,23198.65,23216.0,23048.5,23096.4,23096.4,20,184.93,2080,120,13-DEC-2023,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,0.0,0.0,0.0,23294.5,23111.95,0,0.0,120,0,13-DEC-2023,
FUTSTK,ABCAPITAL,28-Dec-2023,0.0,XX,164.65,165.3,163.5,164.7,164.7,1098,9746.17,70151400,178200,13-DEC-2023,
FUTSTK,ABCAPITAL,25-Jan-2024,0.0,XX,165.75,166.5,164.75,165.95,165.95,146,1305.83,3331800,307800,13-DEC-2023,
FUTSTK,ABCAPITAL,29-Feb-2024,0.0,XX,166.9,166.9,166.5,166.5,166.45,7,63.02,502200,37800,13-DEC-2023,
FUTSTK,ABFRL,28-Dec-2023,0.0,XX,231.6,232.3,227.4,229.4,229.4,2168,12927.53,28563600,-322400,13-DEC-2023,
FUTSTK,ABFRL,25-Jan-2024,0.0,XX,231.6,232.95,228.35,230.3,230.3,322,1924.46,1799200,221000,13-DEC-2023,
FUTSTK,ABFRL,29-Feb-2024,0.0,XX,233.0,233.0,231.0,231.25,231.25,5,30.12,184600,7800,13-DEC-2023,
FUTSTK,ACC,28-Dec-2023,0.0,XX,2183.0,2220.15,2165.0,2199.1,2199.1,3512,23097.73,4225200,-30900,13-DEC-2023,
FUTSTK,ACC,25-Jan-2024,0.0,XX,2203.0,2233.8,2180.7,2213.75,2213.75,219,1451.64,213600,9900,13-DEC-2023,
FUTSTK,ACC,29-Feb-2024,0.0,XX,2230.0,2232.55,2197.05,2229.5,2229.5,28,186.44,44700,2700,13-DEC-2023,
FUTSTK,ADANIENT,28-Dec-2023,0.0,XX,2875.35,2923.8,2823.0,2901.45,2901.45,9753,84201.75,11612100,39000,13-DEC-2023,
FUTSTK,ADANIENT,25-Jan-2024,0.0,XX,2908.0,2943.3,2846.3,2917.85,2917.85,626,5445.36,604200,24900,13-DEC-2023,
FUTSTK,ADANIENT,29-Feb-2024,0.0,XX,2926.35,2955.0,2870.9,2932.65,2932.65,44,385.33,41400,-6300,13-DEC-2023,
FUTSTK,ADANIPORTS,28-Dec-2023,0.0,XX,1049.25,1083.0,1034.25,1072.4,1072.4,18627,157626.12,49864000,893600,13-DEC-2023,
