INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,31-Mar-2022,0.0,XX,36820.0,36858.5,36113.3,36205.35,36205.35,216455,1971034.69,2323325,298625,23-MAR-2022,
FUTIDX,BANKNIFTY,28-Apr-2022,0.0,XX,36740.0,36942.2,36229.6,36311.5,36311.5,20944,191293.84,2252300,32850,23-MAR-2022,
FUTIDX,BANKNIFTY,26-May-2022,0.0,XX,36876.6,37051.0,36345.0,36414.45,36414.45,4255,38989.37,1895875,4250,23-MAR-2022,
FUTIDX,FINNIFTY,29-Mar-2022,0.0,XX,17282.65,17282.65,16900.1,16930.35,16930.35,57,389.7,2720,1120,23-MAR-2022,
FUTIDX,FINNIFTY,26-Apr-2022,0.0,XX,17299.95,17300.0,16934.1,17019.65,17019.65,11,75.51,680,40,23-MAR-2022,
FUTIDX,FINNIFTY,31-May-2022,0.0,XX,17221.15,17221.15,17099.9,17099.9,17099.9,3,20.61,400,80,23-MAR-2022,
FUTIDX,MIDCPNIFTY,29-Mar-2022,0.0,XX,7223.0,7229.05,7175.3,7190.45,7190.45,13,70.27,975,0,23-MAR-2022,
FUTIDX,MIDCPNIFTY,05-Apr-2022,0.0,XX,0.0,0.0,0.0,7655.4,7190.4,0,0.0,0,0,23-MAR-2022,
FUTIDX,MIDCPNIFTY,12-Apr-2022,0.0,XX,0.0,0.0,0.0,7447.95,7195.95,0,0.0,0,0,23-MAR-2022,
FUTIDX,MIDCPNIFTY,19-Apr-2022,0.0,XX,0.0,0.0,0.0,7363.45,7201.55,0,0.0,0,0,23-MAR-2022,
FUTIDX,MIDCPNIFTY,26-Apr-2022,0.0,XX,7228.8,7243.3,7153.3,7153.3,7153.3,3,16.21,675,0,23-MAR-2022,
FUTIDX,MIDCPNIFTY,02-May-2022,0.0,XX,0.0,0.0,0.0,7060.05,7213.05,0,0.0,0,0,23-MAR-2022,
FUTIDX,MIDCPNIFTY,10-May-2022,0.0,XX,0.0,0.0,0.0,6721.4,7219.7,0,0.0,0,0,23-MAR-2022,
FUTIDX,MIDCPNIFTY,17-May-2022,0.0,XX,0.0,0.0,0.0,6981.6,7225.5,0,0.0,0,0,23-MAR-2022,
FUTIDX,MIDCPNIFTY,24-May-2022,0.0,XX,0.0,0.0,0.0,7209.4,7231.3,0,0.0,0,0,23-MAR-2022,
FUTIDX,MIDCPNIFTY,31-May-2022,0.0,XX,7235.75,7288.8,7235.75,7288.8,7288.8,2,10.89,375,0,23-MAR-2022,
FUTIDX,NIFTY,31-Mar-2022,0.0,XX,17447.0,17464.4,17220.05,17272.25,17272.25,219341,1900775.03,10685550,-611800,23-MAR-2022,
FUTIDX,NIFTY,28-Apr-2022,0.0,XX,17515.0,17530.0,17275.0,17318.95,17318.95,29267,254314.52,4010650,139450,23-MAR-2022,
FUTIDX,NIFTY,26-May-2022,0.0,XX,17538.95,17550.0,17318.05,17362.25,17362.25,6993,60929.12,1938550,36300,23-MAR-2022,
FUTSTK,AARTIIND,31-Mar-2022,0.0,XX,912.95,920.1,905.6,913.8,913.8,602,4675.36,2110550,-125800,23-MAR-2022,
FUTSTK,AARTIIND,28-Apr-2022,0.0,XX,918.0,919.2,907.45,913.55,913.55,230,1786.21,414800,16150,23-MAR-2022,
FUTSTK,AARTIIND,26-May-2022,0.0,XX,916.3,916.3,916.3,916.3,919.35,1,7.78,33150,0,23-MAR-2022,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2091.05,2100.15,2043.55,2052.9,2052.9,244,1261.42,217250,500,23-MAR-2022,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2095.05,2098.0,2046.1,2056.45,2056.45,75,387.47,32250,8750,23-MAR-2022,
FUTSTK,ABB,26-May-2022,0.0,XX,2099.9,2099.9,2099.9,2099.9,2065.75,1,5.24,250,250,23-MAR-2022,
FUTSTK,ABBOTINDIA,31-Mar-2022,0.0,XX,16840.5,16938.15,16503.0,16642.55,16642.55,289,1210.03,32250,625,23-MAR-2022,
FUTSTK,ABBOTINDIA,28-Apr-2022,0.0,XX,16891.5,17007.55,16611.85,16746.1,16746.1,112,472.46,6450,950,23-MAR-2022,
FUTSTK,ABBOTINDIA,26-May-2022,0.0,XX,17026.65,17026.65,16724.85,16724.85,16724.85,6,25.46,475,100,23-MAR-2022,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,109.65,110.75,109.0,109.75,109.75,599,2894.05,14616800,-391600,23-MAR-2022,
FUTSTK,ABCAPITAL,28-Apr-2022,0.0,XX,109.95,111.05,109.5,110.2,110.2,283,1372.46,2433200,325600,23-MAR-2022,
FUTSTK,ABCAPITAL,26-May-2022,0.0,XX,110.95,111.25,110.2,110.2,110.25,5,24.37,180400,-4400,23-MAR-2022,
FUTSTK,ABFRL,31-Mar-2022,0.0,XX,290.85,292.4,283.35,289.55,289.55,1328,9933.55,10712000,0,23-MAR-2022,
FUTSTK,ABFRL,28-Apr-2022,0.0,XX,291.8,292.7,284.7,290.65,290.65,238,1786.34,717600,135200,23-MAR-2022,
FUTSTK,ABFRL,26-May-2022,0.0,XX,292.4,292.4,290.0,290.0,291.7,6,45.52,80600,-10400,23-MAR-2022,
FUTSTK,ACC,31-Mar-2022,0.0,XX,2079.9,2087.95,2052.75,2071.95,2071.95,1906,9865.95,2167000,-34500,23-MAR-2022,
FUTSTK,ACC,28-Apr-2022,0.0,XX,2035.3,2037.65,2005.0,2021.1,2021.1,486,2454.78,435000,32500,23-MAR-2022,
FUTSTK,ACC,26-May-2022,0.0,XX,2038.05,2038.05,2018.0,2030.6,2030.6,21,106.46,11500,250,23-MAR-2022,
FUTSTK,ADANIENT,31-Mar-2022,0.0,XX,1847.95,1851.55,1803.05,1814.0,1814.0,9023,82464.83,17736000,-734500,23-MAR-2022,
FUTSTK,ADANIENT,28-Apr-2022,0.0,XX,1853.75,1855.95,1810.5,1818.9,1818.9,4553,41787.3,1394500,487000,23-MAR-2022,
FUTSTK,ADANIENT,26-May-2022,0.0,XX,1855.1,1858.75,1818.6,1822.7,1824.4,37,340.93,57500,1500,23-MAR-2022,
FUTSTK,ADANIPORTS,31-Mar-2022,0.0,XX,746.1,752.0,734.2,736.6,736.6,25974,239764.42,55330000,-25342500,23-MAR-2022,
FUTSTK,ADANIPORTS,28-Apr-2022,0.0,XX,753.55,754.85,737.6,740.15,740.15,22046,204152.96,29055000,26077500,23-MAR-2022,
FUTSTK,ADANIPORTS,26-May-2022,0.0,XX,757.5,757.5,740.35,741.9,741.9,25,233.76,118750,16250,23-MAR-2022,
FUTSTK,ALKEM,31-Mar-2022,0.0,XX,3589.95,3672.2,3560.0,3648.65,3648.65,1031,7505.42,126000,-26400,23-MAR-2022,
FUTSTK,ALKEM,28-Apr-2022,0.0,XX,3567.55,3682.4,3567.55,3658.1,3658.1,116,846.7,16200,3400,23-MAR-2022,
