INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,30-Nov-2023,0.0,XX,44745.0,44785.3,44210.0,44459.95,44481.75,170631,1136774.96,637725,-621210,30-NOV-2023,
FUTIDX,BANKNIFTY,28-Dec-2023,0.0,XX,44906.9,44994.7,44512.55,44732.3,44732.3,180535,1210312.47,2498655,701085,30-NOV-2023,
FUTIDX,BANKNIFTY,25-Jan-2024,0.0,XX,45170.85,45250.0,44802.0,45004.3,45004.3,5716,38570.2,99165,15030,30-NOV-2023,
FUTIDX,FINNIFTY,26-Dec-2023,0.0,XX,20169.6,20221.55,20039.9,20193.3,20193.3,960,7729.88,65720,-1960,30-NOV-2023,
FUTIDX,FINNIFTY,30-Jan-2024,0.0,XX,20190.0,20354.15,20171.15,20301.15,20301.15,14,113.5,2160,240,30-NOV-2023,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,0.0,0.0,0.0,20061.55,20387.45,0,0.0,0,0,30-NOV-2023,
FUTIDX,MIDCPNIFTY,22-Dec-2023,0.0,XX,9653.9,9690.9,9602.6,9682.4,9682.4,1874,13567.45,612150,11475,30-NOV-2023,
FUTIDX,MIDCPNIFTY,29-Jan-2024,0.0,XX,9662.85,9662.85,9635.3,9640.85,9792.05,3,21.7,2625,0,30-NOV-2023,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,0.0,0.0,0.0,9668.2,9842.9,0,0.0,0,0,30-NOV-2023,
FUTIDX,NIFTY,30-Nov-2023,0.0,XX,20146.65,20152.5,20006.85,20129.4,20133.15,135818,1364217.9,3951350,-2111800,30-NOV-2023,
FUTIDX,NIFTY,28-Dec-2023,0.0,XX,20275.0,20291.6,20144.1,20270.6,20270.6,165806,1676589.38,9918000,2707700,30-NOV-2023,
FUTIDX,NIFTY,25-Jan-2024,0.0,XX,20398.1,20405.75,20273.0,20389.1,20389.1,6846,69628.99,797200,93600,30-NOV-2023,
FUTSTK,AARTIIND,30-Nov-2023,0.0,XX,559.85,569.65,550.3,554.0,554.35,3983,22172.91,1251000,-1739000,30-NOV-2023,
FUTSTK,AARTIIND,28-Dec-2023,0.0,XX,565.5,573.25,553.5,557.65,557.65,11554,64885.43,12358000,1306000,30-NOV-2023,
FUTSTK,AARTIIND,25-Jan-2024,0.0,XX,561.0,576.0,559.0,561.75,561.75,518,2930.43,1337000,203000,30-NOV-2023,
FUTSTK,ABB,30-Nov-2023,0.0,XX,4239.5,4458.7,4229.75,4411.45,4419.75,4847,26140.97,81875,-262625,30-NOV-2023,
FUTSTK,ABB,28-Dec-2023,0.0,XX,4279.6,4464.0,4253.55,4438.25,4438.25,8085,44138.33,1126875,206000,30-NOV-2023,
FUTSTK,ABB,25-Jan-2024,0.0,XX,4337.0,4473.0,4337.0,4466.15,4466.15,37,204.56,9000,1125,30-NOV-2023,
FUTSTK,ABBOTINDIA,30-Nov-2023,0.0,XX,23483.6,23957.15,23381.55,23811.75,23800.3,483,4578.87,3040,-4120,30-NOV-2023,
FUTSTK,ABBOTINDIA,28-Dec-2023,0.0,XX,23642.25,24056.8,23597.75,24015.3,24015.3,740,7070.46,71240,7200,30-NOV-2023,
FUTSTK,ABBOTINDIA,25-Jan-2024,0.0,XX,24019.95,24019.95,24000.95,24000.95,24048.05,3,28.81,80,80,30-NOV-2023,
FUTSTK,ABCAPITAL,30-Nov-2023,0.0,XX,169.2,169.8,167.35,168.4,168.0,3182,28962.12,1706400,-9196200,30-NOV-2023,
FUTSTK,ABCAPITAL,28-Dec-2023,0.0,XX,170.4,171.05,168.5,169.7,169.7,4472,41005.19,60507000,12841200,30-NOV-2023,
FUTSTK,ABCAPITAL,25-Jan-2024,0.0,XX,171.6,171.85,169.75,170.9,170.9,84,774.45,907200,286200,30-NOV-2023,
FUTSTK,ABFRL,30-Nov-2023,0.0,XX,229.1,233.15,227.0,231.9,231.75,2839,17005.59,1154400,-2823600,30-NOV-2023,
FUTSTK,ABFRL,28-Dec-2023,0.0,XX,226.45,234.5,226.45,233.25,233.25,4868,29298.53,27190800,1437800,30-NOV-2023,
FUTSTK,ABFRL,25-Jan-2024,0.0,XX,227.8,235.0,227.8,234.15,234.15,153,923.74,605800,52000,30-NOV-2023,
FUTSTK,ACC,30-Nov-2023,0.0,XX,1870.75,1898.9,1850.8,1881.4,1875.55,5875,32943.25,510000,-606000,30-NOV-2023,
FUTSTK,ACC,28-Dec-2023,0.0,XX,1888.85,1908.25,1864.25,1892.5,1892.5,11418,64543.15,5015100,927900,30-NOV-2023,
FUTSTK,ACC,25-Jan-2024,0.0,XX,1896.45,1920.05,1879.0,1909.1,1909.1,183,1044.21,140100,4800,30-NOV-2023,
FUTSTK,ADANIENT,30-Nov-2023,0.0,XX,2401.6,2401.7,2339.55,2359.15,2358.6,18023,127580.49,1208100,-2499900,30-NOV-2023,
FUTSTK,ADANIENT,28-Dec-2023,0.0,XX,2416.45,2416.5,2359.0,2380.0,2380.0,23387,166828.71,11244300,3279000,30-NOV-2023,
FUTSTK,ADANIENT,25-Jan-2024,0.0,XX,2428.0,2428.0,2378.9,2398.05,2398.05,485,3481.51,186300,95400,30-NOV-2023,
FUTSTK,ADANIPORTS,30-Nov-2023,0.0,XX,835.9,836.6,823.15,826.55,825.5,14119,93683.67,1088000,-7064000,30-NOV-2023,
FUTSTK,ADANIPORTS,28-Dec-2023,0.0,XX,841.15,842.2,829.55,832.5,832.5,19692,131523.19,52536800,7040800,30-NOV-2023,
FUTSTK,ADANIPORTS,25-Jan-2024,0.0,XX,841.25,847.45,835.4,838.9,838.9,409,2751.66,464800,136000,30-NOV-2023,
FUTSTK,ALKEM,30-Nov-2023,0.0,XX,4572.7,4885.0,4556.5,4712.45,4723.6,2118,19718.68,100200,-127400,30-NOV-2023,
FUTSTK,ALKEM,28-Dec-2023,0.0,XX,4604.7,4739.9,4587.0,4718.9,4718.9,3074,28810.99,653800,88600,30-NOV-2023,
FUTSTK,ALKEM,25-Jan-2024,0.0,XX,4610.0,4746.55,4600.0,4722.9,4722.9,44,412.49,14200,5600,30-NOV-2023,
FUTSTK,AMBUJACEM,30-Nov-2023,0.0,XX,435.85,444.05,430.7,439.9,439.25,7903,62152.58,3520800,-6575400,30-NOV-2023,
FUTSTK,AMBUJACEM,28-Dec-2023,0.0,XX,438.7,446.85,433.45,442.55,442.55,12096,95919.62,55231200,6400800,30-NOV-2023,
FUTSTK,AMBUJACEM,25-Jan-2024,0.0,XX,440.65,448.9,437.05,445.6,445.6,228,1818.27,882000,50400,30-NOV-2023,
FUTSTK,APOLLOHOSP,30-Nov-2023,0.0,XX,5409.65,5551.05,5404.6,5530.45,5528.95,5266,36228.05,146500,-227125,30-NOV-2023,
FUTSTK,APOLLOHOSP,28-Dec-2023,0.0,XX,5441.05,5584.95,5438.0,5568.1,5568.1,7260,50264.4,2052125,150875,30-NOV-2023,
FUTSTK,APOLLOHOSP,25-Jan-2024,0.0,XX,5503.2,5605.0,5503.2,5598.5,5598.5,43,299.31,6500,1250,30-NOV-2023,
FUTSTK,APOLLOTYRE,30-Nov-2023,0.0,XX,426.8,430.7,425.0,427.75,427.4,3159,22962.93,528700,-3019200,30-NOV-2023,
FUTSTK,APOLLOTYRE,28-Dec-2023,0.0,XX,429.6,433.6,427.0,430.75,430.75,3943,28854.37,11112900,2250800,30-NOV-2023,
FUTSTK,APOLLOTYRE,25-Jan-2024,0.0,XX,428.5,431.95,427.2,431.55,431.55,56,409.79,149600,15300,30-NOV-2023,
FUTSTK,ASHOKLEY,30-Nov-2023,0.0,XX,181.6,184.5,180.2,182.75,183.15,6381,57880.02,7570000,-9010000,30-NOV-2023,
FUTSTK,ASHOKLEY,28-Dec-2023,0.0,XX,182.75,183.7,181.6,183.5,183.5,8897,81265.69,68230000,9260000,30-NOV-2023,
FUTSTK,ASHOKLEY,25-Jan-2024,0.0,XX,184.0,184.8,182.95,184.6,184.6,192,1764.54,1500000,250000,30-NOV-2023,
