TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-12-29,2025-12-29,FO,NSE,STO,61396,,ABCAPITAL,,2025-12-30,2025-12-30,345.0,CE,ABCAPITAL25DEC345CE,4.75,5.75,1.75,3.0,2.9,5.2,346.75,3.0,796700,-837000,1410,1521611750.0,1133,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,68990,,ABCAPITAL,,2025-12-30,2025-12-30,360.0,CE,ABCAPITAL25DEC360CE,0.6,0.75,0.1,0.15,0.15,0.75,346.75,0.15,1872400,-533200,734,819784770.0,439,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,61472,,ABCAPITAL,,2026-01-27,2026-01-27,300.0,CE,ABCAPITAL26JAN300CE,48.65,49.0,47.6,49.0,49.0,52.0,346.75,48.65,297600,77500,27,29159840.0,17,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,61385,,ABCAPITAL,,2025-12-30,2025-12-30,295.0,PE,ABCAPITAL25DEC295PE,0.05,0.05,0.05,0.05,0.05,0.05,346.75,0.05,120900,0,3,2743965.0,3,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,69411,,ABCAPITAL,,2026-02-24,2026-02-24,350.0,PE,ABCAPITAL26FEB350PE,0.0,0.0,0.0,10.15,10.15,10.15,346.75,17.6,46500,0,0,0.0,0,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,61386,,ABCAPITAL,,2025-12-30,2025-12-30,305.0,CE,ABCAPITAL25DEC305CE,0.0,0.0,0.0,45.5,45.5,45.5,346.75,41.8,3100,0,0,0.0,0,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,61387,,ABCAPITAL,,2025-12-30,2025-12-30,305.0,PE,ABCAPITAL25DEC305PE,0.05,0.05,0.05,0.05,0.05,0.05,346.75,0.05,74400,0,3,2836965.0,1,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,68996,,ABCAPITAL,,2025-12-30,2025-12-30,370.0,PE,ABCAPITAL25DEC370PE,26.5,26.5,23.0,23.0,23.0,26.5,346.75,23.0,272800,-21700,9,10995700.0,7,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,61492,,ABCAPITAL,,2026-01-27,2026-01-27,380.0,CE,ABCAPITAL26JAN380CE,2.15,2.3,1.6,1.9,1.9,2.15,346.75,1.9,660300,120900,125,147996170.0,106,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,69332,,ABCAPITAL,,2026-02-24,2026-02-24,330.0,PE,ABCAPITAL26FEB330PE,0.0,0.0,0.0,17.35,0.0,17.35,346.75,8.95,0,0,0,0.0,0,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,61482,,ABCAPITAL,,2026-01-27,2026-01-27,330.0,CE,ABCAPITAL26JAN330CE,24.6,24.6,20.9,22.75,22.9,24.55,346.75,22.75,130200,34100,30,32756150.0,25,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,61379,,ABCAPITAL,,2025-12-30,2025-12-30,285.0,PE,ABCAPITAL25DEC285PE,0.0,0.0,0.0,0.1,0.1,0.1,346.75,0.05,86800,0,0,0.0,0,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,61488,,ABCAPITAL,,2026-01-27,2026-01-27,360.0,CE,ABCAPITAL26JAN360CE,6.8,6.95,5.1,6.1,5.8,6.6,346.75,6.1,1326800,108500,303,343603225.0,269,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,61409,,ABCAPITAL,,2025-12-30,2025-12-30,395.0,PE,ABCAPITAL25DEC395PE,0.0,0.0,0.0,80.6,0.0,80.6,346.75,48.2,0,0,0,0.0,0,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,61480,,ABCAPITAL,,2026-01-27,2026-01-27,320.0,PE,ABCAPITAL26JAN320PE,1.8,2.15,1.75,1.8,1.85,1.85,346.75,1.8,260400,15500,27,26942410.0,24,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,61487,,ABCAPITAL,,2026-01-27,2026-01-27,350.0,PE,ABCAPITAL26JAN350PE,10.2,11.65,9.6,10.7,10.95,10.25,346.75,10.7,957900,136400,255,285180160.0,252,F1,3100,,,,,
2025-12-29,2025-12-29,FO,NSE,STO,68962,,ABCAPITAL,,2025-12-30,2025-12-30,320.0,CE,ABCAPITAL25DEC320CE,26.3,26.3,26.3,26.3,26.3,28.35,346.75,26.8,127100,-3100,1,1073530.0,1,F1,3100,,,,,
