INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,26-Aug-2021,0.0,XX,35152.1,35817.55,35085.0,35719.35,35719.35,139128,1234969.1,1030325,-432450,24-AUG-2021,
FUTIDX,BANKNIFTY,30-Sep-2021,0.0,XX,35380.55,35930.0,35229.85,35840.8,35840.8,37984,338607.64,826275,233250,24-AUG-2021,
FUTIDX,BANKNIFTY,28-Oct-2021,0.0,XX,35474.25,36050.0,35367.9,35983.65,35983.65,1736,15548.61,51325,-575,24-AUG-2021,
FUTIDX,FINNIFTY,26-Aug-2021,0.0,XX,17210.05,17484.15,17174.9,17458.3,17458.3,133,922.25,2440,-840,24-AUG-2021,
FUTIDX,FINNIFTY,02-Sep-2021,0.0,XX,17200.0,17500.0,16498.0,17476.05,17476.05,17,117.94,120,120,24-AUG-2021,
FUTIDX,FINNIFTY,09-Sep-2021,0.0,XX,0.0,0.0,0.0,16779.1,17489.1,0,0.0,0,0,24-AUG-2021,
FUTIDX,FINNIFTY,16-Sep-2021,0.0,XX,0.0,0.0,0.0,17037.7,17501.35,0,0.0,0,0,24-AUG-2021,
FUTIDX,FINNIFTY,23-Sep-2021,0.0,XX,0.0,0.0,0.0,16607.8,17513.6,0,0.0,0,0,24-AUG-2021,
FUTIDX,FINNIFTY,30-Sep-2021,0.0,XX,17250.95,17525.0,17202.75,17522.15,17522.15,62,431.42,1760,720,24-AUG-2021,
FUTIDX,FINNIFTY,07-Oct-2021,0.0,XX,0.0,0.0,0.0,17306.15,17541.1,0,0.0,0,0,24-AUG-2021,
FUTIDX,FINNIFTY,14-Oct-2021,0.0,XX,0.0,0.0,0.0,17346.9,17553.85,0,0.0,0,0,24-AUG-2021,
FUTIDX,FINNIFTY,21-Oct-2021,0.0,XX,0.0,0.0,0.0,17386.7,17566.6,0,0.0,0,0,24-AUG-2021,
FUTIDX,FINNIFTY,28-Oct-2021,0.0,XX,0.0,0.0,0.0,17400.0,17579.35,0,0.0,120,0,24-AUG-2021,
FUTIDX,NIFTY,26-Aug-2021,0.0,XX,16555.4,16643.3,16495.05,16620.25,16620.25,123179,1020758.56,7768750,-1855700,24-AUG-2021,
FUTIDX,NIFTY,30-Sep-2021,0.0,XX,16578.95,16677.7,16533.0,16656.8,16656.8,69720,579122.32,5847050,2160650,24-AUG-2021,
FUTIDX,NIFTY,28-Oct-2021,0.0,XX,16560.25,16698.0,16557.05,16679.5,16679.5,3615,30066.94,387500,88200,24-AUG-2021,
FUTSTK,AARTIIND,26-Aug-2021,0.0,XX,911.9,923.9,903.75,920.2,920.2,1590,12378.48,1306450,-602650,24-AUG-2021,
FUTSTK,AARTIIND,30-Sep-2021,0.0,XX,912.95,922.25,903.8,919.15,919.15,1311,10192.67,1442450,413100,24-AUG-2021,
FUTSTK,AARTIIND,28-Oct-2021,0.0,XX,911.25,920.5,911.0,920.0,927.3,8,62.27,21250,2550,24-AUG-2021,
FUTSTK,ABFRL,26-Aug-2021,0.0,XX,194.05,199.25,188.75,198.15,198.15,1707,8664.65,5171400,-1960400,24-AUG-2021,
FUTSTK,ABFRL,30-Sep-2021,0.0,XX,195.0,199.75,189.55,198.7,198.7,1505,7670.55,5057000,1674400,24-AUG-2021,
FUTSTK,ABFRL,28-Oct-2021,0.0,XX,190.45,199.35,190.45,199.35,199.5,7,35.75,83200,13000,24-AUG-2021,
FUTSTK,ACC,26-Aug-2021,0.0,XX,2265.15,2291.0,2256.8,2281.85,2281.85,2748,31206.72,1065500,-786500,24-AUG-2021,
FUTSTK,ACC,30-Sep-2021,0.0,XX,2275.05,2297.6,2263.45,2289.45,2289.45,2441,27803.09,1964000,783000,24-AUG-2021,
FUTSTK,ACC,28-Oct-2021,0.0,XX,2279.95,2296.35,2279.95,2296.35,2296.35,3,34.28,8000,1000,24-AUG-2021,
FUTSTK,ADANIENT,26-Aug-2021,0.0,XX,1408.25,1451.2,1391.0,1441.25,1441.25,9726,137984.09,7269000,-4477000,24-AUG-2021,
FUTSTK,ADANIENT,30-Sep-2021,0.0,XX,1415.05,1456.65,1395.7,1446.05,1446.05,7991,113600.12,9833000,4136000,24-AUG-2021,
FUTSTK,ADANIENT,28-Oct-2021,0.0,XX,1410.0,1461.75,1404.0,1450.25,1450.25,44,629.89,71000,1000,24-AUG-2021,
FUTSTK,ADANIPORTS,26-Aug-2021,0.0,XX,673.4,702.85,668.4,695.3,695.3,11621,99099.24,17217500,-4628750,24-AUG-2021,
FUTSTK,ADANIPORTS,30-Sep-2021,0.0,XX,676.05,705.85,671.6,698.7,698.7,9642,82691.65,70657500,4638750,24-AUG-2021,
FUTSTK,ADANIPORTS,28-Oct-2021,0.0,XX,679.2,708.25,675.5,701.35,701.35,173,1495.56,363750,7500,24-AUG-2021,
FUTSTK,ALKEM,26-Aug-2021,0.0,XX,3813.25,3901.0,3805.1,3833.1,3833.1,1960,15084.21,208200,-222800,24-AUG-2021,
FUTSTK,ALKEM,30-Sep-2021,0.0,XX,3819.05,3909.0,3819.05,3843.75,3843.75,1586,12241.32,281600,214600,24-AUG-2021,
FUTSTK,ALKEM,28-Oct-2021,0.0,XX,3830.3,3900.0,3830.25,3830.25,3863.35,8,61.79,3800,600,24-AUG-2021,
FUTSTK,AMARAJABAT,26-Aug-2021,0.0,XX,681.6,688.1,674.55,685.5,685.5,3462,23601.77,3727000,-1559000,24-AUG-2021,
FUTSTK,AMARAJABAT,30-Sep-2021,0.0,XX,678.1,690.0,676.05,687.2,687.2,3010,20578.44,5164000,910000,24-AUG-2021,
FUTSTK,AMARAJABAT,28-Oct-2021,0.0,XX,686.75,692.1,680.0,690.25,690.25,132,906.08,263000,83000,24-AUG-2021,
FUTSTK,AMBUJACEM,26-Aug-2021,0.0,XX,393.2,396.5,387.2,395.3,395.3,3726,43888.97,7740000,-4734000,24-AUG-2021,
FUTSTK,AMBUJACEM,30-Sep-2021,0.0,XX,391.5,396.95,388.0,396.05,396.05,2925,34472.33,9450000,4224000,24-AUG-2021,
FUTSTK,AMBUJACEM,28-Oct-2021,0.0,XX,396.0,396.0,390.75,395.0,398.05,6,70.76,72000,3000,24-AUG-2021,
FUTSTK,APLLTD,26-Aug-2021,0.0,XX,733.25,742.8,733.25,740.05,740.05,1122,4554.32,1039500,-305800,24-AUG-2021,
FUTSTK,APLLTD,30-Sep-2021,0.0,XX,735.0,744.85,735.0,742.5,742.5,1019,4149.3,1014750,237050,24-AUG-2021,
FUTSTK,APLLTD,28-Oct-2021,0.0,XX,744.1,746.0,740.0,745.6,745.6,19,77.63,35750,550,24-AUG-2021,
FUTSTK,APOLLOHOSP,26-Aug-2021,0.0,XX,4802.65,4887.9,4755.85,4843.15,4843.15,7153,86163.49,1223250,-701500,24-AUG-2021,
FUTSTK,APOLLOHOSP,30-Sep-2021,0.0,XX,4823.8,4895.75,4771.0,4860.8,4860.8,4457,53808.3,1297000,647250,24-AUG-2021,
FUTSTK,APOLLOHOSP,28-Oct-2021,0.0,XX,4881.8,4894.15,4799.0,4874.05,4874.05,35,424.94,13500,3000,24-AUG-2021,
FUTSTK,APOLLOTYRE,26-Aug-2021,0.0,XX,207.05,210.0,203.0,209.25,209.25,3125,16125.1,6455000,-3225000,24-AUG-2021,
FUTSTK,APOLLOTYRE,30-Sep-2021,0.0,XX,207.3,210.3,203.4,209.85,209.85,2559,13253.27,7710000,2560000,24-AUG-2021,
FUTSTK,APOLLOTYRE,28-Oct-2021,0.0,XX,206.4,210.9,205.0,210.55,210.55,44,228.53,217500,42500,24-AUG-2021,
FUTSTK,ASHOKLEY,26-Aug-2021,0.0,XX,119.2,120.75,116.1,120.05,120.05,5499,29347.08,14782500,-10759500,24-AUG-2021,
FUTSTK,ASHOKLEY,30-Sep-2021,0.0,XX,118.5,120.4,115.95,119.8,119.8,5004,26655.82,22986000,10233000,24-AUG-2021,
FUTSTK,ASHOKLEY,28-Oct-2021,0.0,XX,117.45,120.7,117.0,120.3,120.3,49,262.09,855000,58500,24-AUG-2021,
FUTSTK,ASIANPAINT,26-Aug-2021,0.0,XX,3094.8,3094.85,3038.95,3051.2,3051.2,5841,53446.07,1584000,-1186200,24-AUG-2021,
FUTSTK,ASIANPAINT,30-Sep-2021,0.0,XX,3101.85,3105.4,3048.45,3061.5,3061.5,5279,48451.01,3367200,1057200,24-AUG-2021,
FUTSTK,ASIANPAINT,28-Oct-2021,0.0,XX,3071.0,3071.1,3060.0,3067.6,3067.6,28,257.54,21300,5100,24-AUG-2021,
FUTSTK,ASTRAL,26-Aug-2021,0.0,XX,1995.25,1995.25,1956.0,1977.9,1977.9,723,3921.93,142175,-114125,24-AUG-2021,
FUTSTK,ASTRAL,30-Sep-2021,0.0,XX,2013.1,2013.1,1962.85,1985.4,1985.4,806,4388.74,216975,152350,24-AUG-2021,
FUTSTK,ASTRAL,28-Oct-2021,0.0,XX,1975.8,1990.35,1975.8,1990.35,1990.35,2,10.9,4400,275,24-AUG-2021,
FUTSTK,AUBANK,26-Aug-2021,0.0,XX,1300.3,1391.0,1286.05,1360.3,1360.3,5526,37411.82,827500,-317500,24-AUG-2021,
FUTSTK,AUBANK,30-Sep-2021,0.0,XX,1297.3,1383.8,1295.95,1358.1,1358.1,3482,23498.53,1598500,719500,24-AUG-2021,
FUTSTK,AUBANK,28-Oct-2021,0.0,XX,1306.95,1357.85,1306.95,1357.85,1357.85,18,120.02,25500,500,24-AUG-2021,
FUTSTK,AUROPHARMA,26-Aug-2021,0.0,XX,684.25,692.4,660.1,688.75,688.75,14000,61804.23,5972200,-2704000,24-AUG-2021,
FUTSTK,AUROPHARMA,30-Sep-2021,0.0,XX,684.0,692.55,661.55,689.6,689.6,12898,56959.93,11441950,3421600,24-AUG-2021,
FUTSTK,AUROPHARMA,28-Oct-2021,0.0,XX,685.8,694.95,665.0,692.75,692.75,209,925.2,350350,42900,24-AUG-2021,
FUTSTK,AXISBANK,26-Aug-2021,0.0,XX,740.15,750.3,732.5,747.35,747.35,11845,105727.12,8778000,-8149200,24-AUG-2021,
FUTSTK,AXISBANK,30-Sep-2021,0.0,XX,741.35,753.3,735.0,750.05,750.05,10024,89818.03,17936400,7420800,24-AUG-2021,
FUTSTK,AXISBANK,28-Oct-2021,0.0,XX,739.65,755.05,739.0,752.5,752.5,24,215.03,129600,2400,24-AUG-2021,
FUTSTK,BAJAJ-AUTO,26-Aug-2021,0.0,XX,3673.9,3717.5,3649.25,3710.15,3710.15,3173,29264.12,801250,-379500,24-AUG-2021,
FUTSTK,BAJAJ-AUTO,30-Sep-2021,0.0,XX,3684.95,3730.4,3662.95,3722.0,3722.0,2925,27063.44,1285500,374750,24-AUG-2021,
