INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,30-Sep-2021,0.0,XX,37675.65,38048.85,37392.65,37878.5,37878.5,132629,1251314.38,776500,-370550,29-SEP-2021,
FUTIDX,BANKNIFTY,28-Oct-2021,0.0,XX,38051.25,38135.45,37536.1,37969.3,37969.3,78468,742761.13,1407625,670875,29-SEP-2021,
FUTIDX,BANKNIFTY,25-Nov-2021,0.0,XX,38061.3,38256.95,37675.0,38110.6,38110.6,2506,23782.37,64575,8900,29-SEP-2021,
FUTIDX,FINNIFTY,30-Sep-2021,0.0,XX,18360.05,18461.9,18305.0,18412.85,18412.85,105,772.51,2040,-160,29-SEP-2021,
FUTIDX,FINNIFTY,07-Oct-2021,0.0,XX,0.0,0.0,0.0,17306.15,18386.05,0,0.0,0,0,29-SEP-2021,
FUTIDX,FINNIFTY,14-Oct-2021,0.0,XX,0.0,0.0,0.0,17346.9,18398.95,0,0.0,0,0,29-SEP-2021,
FUTIDX,FINNIFTY,21-Oct-2021,0.0,XX,0.0,0.0,0.0,17386.7,18411.9,0,0.0,0,0,29-SEP-2021,
FUTIDX,FINNIFTY,28-Oct-2021,0.0,XX,18372.6,18507.9,18362.1,18466.65,18466.65,51,376.03,1720,-200,29-SEP-2021,
FUTIDX,FINNIFTY,03-Nov-2021,0.0,XX,0.0,0.0,0.0,18299.85,18438.9,0,0.0,0,0,29-SEP-2021,
FUTIDX,FINNIFTY,11-Nov-2021,0.0,XX,0.0,0.0,0.0,18274.65,18454.4,0,0.0,0,0,29-SEP-2021,
FUTIDX,FINNIFTY,18-Nov-2021,0.0,XX,0.0,0.0,0.0,18477.9,18467.95,0,0.0,0,0,29-SEP-2021,
FUTIDX,FINNIFTY,25-Nov-2021,0.0,XX,18645.0,18645.0,18645.0,18645.0,18481.55,1,7.45,120,40,29-SEP-2021,
FUTIDX,FINNIFTY,02-Dec-2021,0.0,XX,0.0,0.0,0.0,18702.75,18495.1,0,0.0,0,0,29-SEP-2021,
FUTIDX,NIFTY,30-Sep-2021,0.0,XX,17669.0,17794.05,17613.05,17708.0,17708.0,178263,1576646.81,6489650,-2576050,29-SEP-2021,
FUTIDX,NIFTY,28-Oct-2021,0.0,XX,17700.0,17812.25,17640.2,17732.6,17732.6,120864,1070361.75,8411800,2573500,29-SEP-2021,
FUTIDX,NIFTY,25-Nov-2021,0.0,XX,17670.0,17850.0,17670.0,17773.2,17773.2,4207,37323.15,451650,30500,29-SEP-2021,
FUTSTK,AARTIIND,30-Sep-2021,0.0,XX,923.4,942.55,914.15,938.2,938.2,1849,14665.09,801550,-532950,29-SEP-2021,
FUTSTK,AARTIIND,28-Oct-2021,0.0,XX,922.75,943.75,915.1,940.85,940.85,2343,18624.14,2360450,473450,29-SEP-2021,
FUTSTK,AARTIIND,25-Nov-2021,0.0,XX,925.5,944.0,920.0,941.3,941.3,20,159.0,83300,5950,29-SEP-2021,
FUTSTK,ABFRL,30-Sep-2021,0.0,XX,221.0,233.6,219.2,231.75,231.75,2339,13875.56,4817800,-2516800,29-SEP-2021,
FUTSTK,ABFRL,28-Oct-2021,0.0,XX,222.85,234.4,220.0,232.7,232.7,2773,16539.51,8626800,2379000,29-SEP-2021,
FUTSTK,ABFRL,25-Nov-2021,0.0,XX,220.75,233.75,220.75,233.55,233.55,48,287.42,83200,5200,29-SEP-2021,
FUTSTK,ACC,30-Sep-2021,0.0,XX,2283.0,2291.6,2247.75,2274.1,2274.1,3070,34897.8,525500,-898000,29-SEP-2021,
FUTSTK,ACC,28-Oct-2021,0.0,XX,2289.95,2297.0,2256.05,2281.55,2281.55,3055,34826.99,2511500,847500,29-SEP-2021,
FUTSTK,ACC,25-Nov-2021,0.0,XX,2291.0,2297.3,2265.0,2297.3,2284.75,10,114.0,10000,3000,29-SEP-2021,
FUTSTK,ADANIENT,30-Sep-2021,0.0,XX,1467.15,1500.0,1464.95,1487.1,1487.1,10047,148905.68,3715000,-5626000,29-SEP-2021,
FUTSTK,ADANIENT,28-Oct-2021,0.0,XX,1475.5,1505.15,1470.55,1492.7,1492.7,9823,146094.75,23376000,5356000,29-SEP-2021,
