TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-06-10,2025-06-10,FO,NSE,STO,58691,,ABCAPITAL,,2025-06-26,2025-06-26,222.5,CE,ABCAPITAL25JUN222.5CE,24.3,25.1,23.35,23.45,23.45,19.6,242.66,22.35,132300,-10800,6,3996945.0,6,F1,2700,,,,,
2025-06-10,2025-06-10,FO,NSE,STF,53220,,ABCAPITAL,,2025-07-31,2025-07-31,,,ABCAPITAL25JULFUT,244.0,248.75,242.7,245.03,244.63,242.71,242.66,245.03,957900,145700,315,240699128.0,302,F1,3100,,,,,
2025-06-10,2025-06-10,FO,NSE,STO,65456,,ABCAPITAL,,2025-06-26,2025-06-26,215.0,PE,ABCAPITAL25JUN215PE,0.6,0.6,0.35,0.45,0.45,0.6,242.66,0.45,580500,-13500,165,95964615.0,87,F1,2700,,,,,
2025-06-10,2025-06-10,FO,NSE,STO,65448,,ABCAPITAL,,2025-06-26,2025-06-26,195.0,PE,ABCAPITAL25JUN195PE,0.15,0.15,0.15,0.15,0.15,0.2,242.66,0.05,126900,-18900,10,5269050.0,4,F1,2700,,,,,
2025-06-10,2025-06-10,FO,NSE,STO,59001,,ABCAPITAL,,2025-07-31,2025-07-31,260.0,CE,ABCAPITAL25JUL260CE,5.2,7.2,5.15,5.5,5.5,5.15,242.66,9.1,99200,71300,35,28883475.0,25,F1,3100,,,,,
2025-06-10,2025-06-10,FO,NSE,STO,65447,,ABCAPITAL,,2025-06-26,2025-06-26,195.0,CE,ABCAPITAL25JUN195CE,0.0,0.0,0.0,31.2,31.2,31.2,242.66,48.2,5400,0,0,0.0,0,F1,2700,,,,,
2025-06-10,2025-06-10,FO,NSE,STO,58995,,ABCAPITAL,,2025-07-31,2025-07-31,240.0,CE,ABCAPITAL25JUL240CE,13.0,15.65,13.0,15.15,15.15,11.45,242.66,17.35,176700,-6200,12,9465695.0,12,F1,3100,,,,,
2025-06-10,2025-06-10,FO,NSE,STO,58768,,ABCAPITAL,,2025-06-26,2025-06-26,232.5,PE,ABCAPITAL25JUN232.5PE,2.95,2.95,1.8,2.4,2.35,3.15,242.66,2.4,194400,2700,133,84286980.0,106,F1,2700,,,,,
2025-06-10,2025-06-10,FO,NSE,STO,58794,,ABCAPITAL,,2025-06-26,2025-06-26,265.0,PE,ABCAPITAL25JUN265PE,20.35,20.55,20.0,20.5,20.5,59.95,242.66,23.55,13500,13500,8,6164775.0,7,F1,2700,,,,,
2025-06-10,2025-06-10,FO,NSE,STO,58988,,ABCAPITAL,,2025-07-31,2025-07-31,220.0,PE,ABCAPITAL25JUL220PE,2.8,2.8,2.05,2.45,2.4,2.8,242.66,2.45,201500,77500,121,83371710.0,107,F1,3100,,,,,
2025-06-10,2025-06-10,FO,NSE,STO,58994,,ABCAPITAL,,2025-07-31,2025-07-31,235.0,PE,ABCAPITAL25JUL235PE,0.0,0.0,0.0,35.3,0.0,35.3,242.66,10.4,0,0,0,0.0,0,F1,3100,,,,,
2025-06-10,2025-06-10,FO,NSE,STO,74810,,ABCAPITAL,,2025-07-31,2025-07-31,212.5,CE,ABCAPITAL25JUL212.5CE,0.0,0.0,0.0,21.2,0.0,21.2,242.66,35.45,0,0,0,0.0,0,F1,3100,,,,,
2025-06-10,2025-06-10,FO,NSE,STO,58979,,ABCAPITAL,,2025-07-31,2025-07-31,200.0,CE,ABCAPITAL25JUL200CE,0.0,0.0,0.0,19.0,19.0,19.0,242.66,45.95,3100,0,0,0.0,0,F1,3100,,,,,
