TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-12-10,2025-12-10,FO,NSE,STO,61386,,ABCAPITAL,,2025-12-30,2025-12-30,305.0,CE,ABCAPITAL25DEC305CE,0.0,0.0,0.0,32.7,32.7,32.7,358.95,55.0,6200,0,0,0.0,0,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,69411,,ABCAPITAL,,2026-02-24,2026-02-24,350.0,PE,ABCAPITAL26FEB350PE,10.1,10.15,10.1,10.15,10.15,10.1,358.95,15.05,46500,12400,4,4465550.0,3,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,61488,,ABCAPITAL,,2026-01-27,2026-01-27,360.0,CE,ABCAPITAL26JAN360CE,18.5,18.5,14.85,15.0,15.25,18.0,358.95,15.0,52700,-6200,9,10485750.0,9,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,61492,,ABCAPITAL,,2026-01-27,2026-01-27,380.0,CE,ABCAPITAL26JAN380CE,9.55,10.6,7.4,7.4,7.4,9.6,358.95,9.7,43400,0,9,10841940.0,9,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,61379,,ABCAPITAL,,2025-12-30,2025-12-30,285.0,PE,ABCAPITAL25DEC285PE,0.0,0.0,0.0,0.1,0.1,0.1,358.95,0.05,15500,0,0,0.0,0,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,61385,,ABCAPITAL,,2025-12-30,2025-12-30,295.0,PE,ABCAPITAL25DEC295PE,0.1,0.1,0.1,0.1,0.1,0.1,358.95,0.05,120900,0,1,914810.0,1,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,61387,,ABCAPITAL,,2025-12-30,2025-12-30,305.0,PE,ABCAPITAL25DEC305PE,0.2,0.2,0.2,0.2,0.2,0.25,358.95,0.15,93000,-3100,1,946120.0,1,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,69332,,ABCAPITAL,,2026-02-24,2026-02-24,330.0,PE,ABCAPITAL26FEB330PE,0.0,0.0,0.0,17.35,0.0,17.35,358.95,8.0,0,0,0,0.0,0,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,68996,,ABCAPITAL,,2025-12-30,2025-12-30,370.0,PE,ABCAPITAL25DEC370PE,11.35,15.7,9.35,15.0,15.15,11.55,358.95,15.0,551800,186000,547,646532900.0,472,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,68966,,ABCAPITAL,,2025-12-30,2025-12-30,340.0,CE,ABCAPITAL25DEC340CE,29.0,30.0,22.0,22.3,22.0,27.65,358.95,22.3,883500,0,55,62480965.0,49,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,68995,,ABCAPITAL,,2025-12-30,2025-12-30,370.0,CE,ABCAPITAL25DEC370CE,8.25,9.0,4.9,5.25,5.1,7.5,358.95,5.25,1853800,-1999500,3522,4122914440.0,2948,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,61483,,ABCAPITAL,,2026-01-27,2026-01-27,330.0,PE,ABCAPITAL26JAN330PE,2.5,3.25,2.5,3.2,3.2,2.65,358.95,3.2,145700,0,11,11351425.0,9,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,69176,,ABCAPITAL,,2026-01-27,2026-01-27,375.0,PE,ABCAPITAL26JAN375PE,0.0,0.0,0.0,38.4,0.0,38.4,358.95,24.7,0,0,0,0.0,0,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,69422,,ABCAPITAL,,2026-02-24,2026-02-24,360.0,PE,ABCAPITAL26FEB360PE,0.0,0.0,0.0,17.0,17.0,17.0,358.95,19.7,15500,0,0,0.0,0,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STF,59190,,ABCAPITAL,,2026-02-24,2026-02-24,,,ABCAPITAL26FEBFUT,371.5,373.5,363.5,364.05,363.5,370.15,358.95,364.05,322400,52700,76,86737690.0,69,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,61388,,ABCAPITAL,,2025-12-30,2025-12-30,315.0,CE,ABCAPITAL25DEC315CE,0.0,0.0,0.0,42.65,42.65,42.65,358.95,45.3,31000,0,0,0.0,0,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,61398,,ABCAPITAL,,2025-12-30,2025-12-30,355.0,CE,ABCAPITAL25DEC355CE,16.4,18.0,11.4,11.85,11.45,15.6,358.95,11.85,492900,-6200,205,234955510.0,200,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,35167,,ABCAPITAL,,2025-12-30,2025-12-30,390.0,CE,ABCAPITAL25DEC390CE,2.15,2.7,1.35,1.45,1.4,2.15,358.95,1.45,2740400,310000,780,947972870.0,573,F1,3100,,,,,
2025-12-10,2025-12-10,FO,NSE,STO,69175,,ABCAPITAL,,2026-01-27,2026-01-27,375.0,CE,ABCAPITAL26JAN375CE,8.3,8.3,8.3,8.3,8.3,10.5,358.95,8.3,21700,3100,1,1188230.0,1,F1,3100,,,,,
