TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-10-25,2024-10-25,FO,NSE,STO,127787,,UNITDSPR,,2024-11-28,2024-11-28,1320.0,PE,UNITDSPR24NOV1320PE,0.0,0.0,0.0,27.85,0.0,27.85,1480.2,2.55,0,0,0,0.0,0,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,106338,,UNITDSPR,,2024-10-31,2024-10-31,1320.0,CE,UNITDSPR24OCT1320CE,0.0,0.0,0.0,180.0,0.0,180.0,1480.2,161.65,0,0,0,0.0,0,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,127733,,UNITDSPR,,2024-10-31,2024-10-31,1500.0,PE,UNITDSPR24OCT1500PE,22.0,41.9,16.05,28.1,28.25,42.05,1480.2,28.1,236600,-8400,270,289131220.0,264,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,127739,,UNITDSPR,,2024-10-31,2024-10-31,1620.0,PE,UNITDSPR24OCT1620PE,0.0,0.0,0.0,153.0,153.0,153.0,1480.2,138.05,40600,0,0,0.0,0,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,106358,,UNITDSPR,,2024-10-31,2024-10-31,1720.0,CE,UNITDSPR24OCT1720CE,0.65,0.65,0.05,0.05,0.05,0.15,1480.2,0.05,33600,-2100,23,27695885.0,19,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,139040,,UNITDSPR,,2024-12-26,2024-12-26,1720.0,CE,UNITDSPR24DEC1720CE,0.0,0.0,0.0,79.15,0.0,79.15,1480.2,6.65,0,0,0,0.0,0,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,138959,,UNITDSPR,,2024-11-28,2024-11-28,1500.0,PE,UNITDSPR24NOV1500PE,45.0,57.15,45.0,51.4,51.4,56.6,1480.2,51.4,50400,4200,32,34777645.0,30,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,127732,,UNITDSPR,,2024-10-31,2024-10-31,1500.0,CE,UNITDSPR24OCT1500CE,12.25,22.0,5.9,9.45,9.85,8.25,1480.2,9.45,407400,-52500,3013,3185834995.0,2793,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,139019,,UNITDSPR,,2024-12-26,2024-12-26,1280.0,PE,UNITDSPR24DEC1280PE,0.0,0.0,0.0,3.2,0.0,3.2,1480.2,3.85,0,0,0,0.0,0,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,139018,,UNITDSPR,,2024-12-26,2024-12-26,1280.0,CE,UNITDSPR24DEC1280CE,0.0,0.0,0.0,390.85,0.0,390.85,1480.2,218.65,0,0,0,0.0,0,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,127734,,UNITDSPR,,2024-10-31,2024-10-31,1540.0,CE,UNITDSPR24OCT1540CE,3.75,6.05,1.7,2.5,2.55,2.5,1480.2,2.5,153300,-4200,1121,1210754440.0,956,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,138958,,UNITDSPR,,2024-11-28,2024-11-28,1500.0,CE,UNITDSPR24NOV1500CE,41.0,47.25,31.25,36.95,40.0,31.35,1480.2,36.95,58800,4900,133,143245585.0,123,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,127738,,UNITDSPR,,2024-10-31,2024-10-31,1620.0,CE,UNITDSPR24OCT1620CE,0.35,0.35,0.2,0.2,0.2,0.35,1480.2,0.2,172900,-34300,174,197348585.0,134,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,127729,,UNITDSPR,,2024-10-31,2024-10-31,1420.0,PE,UNITDSPR24OCT1420PE,1.95,5.55,1.35,2.4,2.2,5.2,1480.2,2.4,102900,-18900,940,936617080.0,869,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,138954,,UNITDSPR,,2024-11-28,2024-11-28,1420.0,CE,UNITDSPR24NOV1420CE,0.0,0.0,0.0,251.5,0.0,251.5,1480.2,86.8,0,0,0,0.0,0,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,127728,,UNITDSPR,,2024-10-31,2024-10-31,1420.0,CE,UNITDSPR24OCT1420CE,57.65,66.4,55.6,64.55,66.4,50.2,1480.2,64.55,5600,2800,7,7253505.0,7,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,138964,,UNITDSPR,,2024-11-28,2024-11-28,1620.0,CE,UNITDSPR24NOV1620CE,7.75,7.75,7.75,7.75,7.75,105.25,1480.2,8.0,700,700,1,1139425.0,1,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,138965,,UNITDSPR,,2024-11-28,2024-11-28,1620.0,PE,UNITDSPR24NOV1620PE,0.0,0.0,0.0,60.35,0.0,60.35,1480.2,137.65,0,0,0,0.0,0,F1,700,,,,,
2024-10-25,2024-10-25,FO,NSE,STO,127743,,UNITDSPR,,2024-10-31,2024-10-31,1700.0,PE,UNITDSPR24OCT1700PE,0.0,0.0,0.0,176.7,176.7,176.7,1480.2,217.9,23800,0,0,0.0,0,F1,700,,,,,
