INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,24-Feb-2022,0.0,XX,39888.7,39888.7,38877.75,39437.1,39437.1,172211,1689363.63,2101600,-25450,02-FEB-2022,
FUTIDX,BANKNIFTY,31-Mar-2022,0.0,XX,39400.0,39619.15,39045.8,39578.95,39578.95,5592,55043.43,114575,3200,02-FEB-2022,
FUTIDX,BANKNIFTY,28-Apr-2022,0.0,XX,39235.05,39787.1,39193.8,39740.35,39740.35,1642,16232.94,21700,3125,02-FEB-2022,
FUTIDX,FINNIFTY,22-Feb-2022,0.0,XX,18285.9,18447.85,18247.4,18380.0,18449.8,38,279.03,1320,-240,02-FEB-2022,
FUTIDX,FINNIFTY,29-Mar-2022,0.0,XX,18467.35,18467.35,18434.9,18434.9,18526.25,3,22.14,120,0,02-FEB-2022,
FUTIDX,FINNIFTY,26-Apr-2022,0.0,XX,0.0,0.0,0.0,16632.9,18586.3,0,0.0,120,0,02-FEB-2022,
FUTIDX,MIDCPNIFTY,08-Feb-2022,0.0,XX,7790.1,7790.1,7790.1,7790.1,7696.65,1,5.84,75,75,02-FEB-2022,
FUTIDX,MIDCPNIFTY,15-Feb-2022,0.0,XX,0.0,0.0,0.0,7569.1,7702.65,0,0.0,0,0,02-FEB-2022,
FUTIDX,MIDCPNIFTY,22-Feb-2022,0.0,XX,7610.0,7724.0,7610.0,7700.0,7700.0,20,115.36,1575,225,02-FEB-2022,
FUTIDX,MIDCPNIFTY,28-Feb-2022,0.0,XX,7792.4,7792.4,7792.4,7792.4,7713.8,1,5.84,825,0,02-FEB-2022,
FUTIDX,MIDCPNIFTY,08-Mar-2022,0.0,XX,0.0,0.0,0.0,7588.0,7721.8,0,0.0,0,0,02-FEB-2022,
FUTIDX,MIDCPNIFTY,15-Mar-2022,0.0,XX,0.0,0.0,0.0,7594.1,7728.05,0,0.0,0,0,02-FEB-2022,
FUTIDX,MIDCPNIFTY,22-Mar-2022,0.0,XX,0.0,0.0,0.0,7600.2,7734.3,0,0.0,0,0,02-FEB-2022,
FUTIDX,MIDCPNIFTY,29-Mar-2022,0.0,XX,7724.3,7724.3,7724.25,7724.25,7740.6,2,11.58,150,150,02-FEB-2022,
FUTIDX,MIDCPNIFTY,05-Apr-2022,0.0,XX,0.0,0.0,0.0,7655.4,7746.85,0,0.0,0,0,02-FEB-2022,
FUTIDX,MIDCPNIFTY,26-Apr-2022,0.0,XX,0.0,0.0,0.0,7440.25,7765.7,0,0.0,0,0,02-FEB-2022,
FUTIDX,NIFTY,24-Feb-2022,0.0,XX,17705.25,17809.8,17680.05,17795.9,17795.9,170190,1510194.4,9424250,-300850,02-FEB-2022,
FUTIDX,NIFTY,31-Mar-2022,0.0,XX,17749.15,17874.0,17730.75,17861.85,17861.85,10883,96901.08,1206350,202450,02-FEB-2022,
FUTIDX,NIFTY,28-Apr-2022,0.0,XX,17799.0,17924.0,17789.8,17907.15,17907.15,1779,15885.87,102950,20850,02-FEB-2022,
FUTSTK,AARTIIND,24-Feb-2022,0.0,XX,1020.0,1036.5,1007.5,1013.05,1013.05,2858,24865.3,2265250,222700,02-FEB-2022,
FUTSTK,AARTIIND,31-Mar-2022,0.0,XX,1018.05,1033.8,1009.75,1012.75,1012.75,103,892.78,123250,20400,02-FEB-2022,
FUTSTK,AARTIIND,28-Apr-2022,0.0,XX,1034.35,1034.35,1010.0,1015.05,1015.05,9,78.03,7650,3400,02-FEB-2022,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2313.0,2388.35,2266.35,2301.25,2301.25,1304,7566.98,211500,-13000,02-FEB-2022,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2361.45,2380.0,2281.9,2287.8,2311.9,20,116.67,4000,0,02-FEB-2022,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2300.0,2300.0,2295.0,2295.0,2295.0,2,11.48,250,250,02-FEB-2022,
FUTSTK,ABBOTINDIA,24-Feb-2022,0.0,XX,16309.95,16544.35,16123.25,16270.55,16270.55,1051,4290.25,72450,5875,02-FEB-2022,
FUTSTK,ABBOTINDIA,31-Mar-2022,0.0,XX,16395.45,16608.0,16225.0,16342.5,16342.5,58,238.43,3500,550,02-FEB-2022,
FUTSTK,ABBOTINDIA,28-Apr-2022,0.0,XX,16656.85,16656.85,16300.0,16321.65,16321.65,5,20.46,175,100,02-FEB-2022,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,123.0,127.4,122.5,126.85,126.85,2075,11436.11,17868400,1399200,02-FEB-2022,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,124.5,127.55,122.95,127.35,127.35,82,452.45,413600,26400,02-FEB-2022,
FUTSTK,ABCAPITAL,28-Apr-2022,0.0,XX,126.0,128.1,126.0,128.1,128.1,4,22.29,22000,4400,02-FEB-2022,
FUTSTK,ABFRL,24-Feb-2022,0.0,XX,305.95,311.4,303.45,309.45,309.45,2920,23366.96,14339000,262600,02-FEB-2022,
FUTSTK,ABFRL,31-Mar-2022,0.0,XX,306.8,311.7,305.65,310.9,310.9,49,395.01,247000,31200,02-FEB-2022,
FUTSTK,ABFRL,28-Apr-2022,0.0,XX,0.0,0.0,0.0,305.25,310.3,0,0.0,26000,0,02-FEB-2022,
FUTSTK,ACC,24-Feb-2022,0.0,XX,2347.95,2354.95,2302.05,2310.7,2310.7,3926,22800.58,2469250,-97500,02-FEB-2022,
FUTSTK,ACC,31-Mar-2022,0.0,XX,2353.25,2353.25,2302.95,2312.05,2312.05,1024,5949.37,194250,53500,02-FEB-2022,
FUTSTK,ACC,28-Apr-2022,0.0,XX,0.0,0.0,0.0,2190.55,2329.35,0,0.0,0,0,02-FEB-2022,
FUTSTK,ADANIENT,24-Feb-2022,0.0,XX,1759.05,1790.1,1751.1,1783.45,1783.45,7860,69766.36,20501500,32500,02-FEB-2022,
FUTSTK,ADANIENT,31-Mar-2022,0.0,XX,1770.1,1797.0,1761.0,1790.15,1790.15,153,1363.16,122500,1500,02-FEB-2022,
FUTSTK,ADANIENT,28-Apr-2022,0.0,XX,1787.0,1797.1,1778.95,1795.4,1795.4,13,116.45,8500,2000,02-FEB-2022,
FUTSTK,ADANIPORTS,24-Feb-2022,0.0,XX,724.7,748.6,722.95,746.05,746.05,8750,80814.62,89046250,911250,02-FEB-2022,
FUTSTK,ADANIPORTS,31-Mar-2022,0.0,XX,728.1,751.3,727.5,749.35,749.35,334,3097.82,423750,32500,02-FEB-2022,
FUTSTK,ADANIPORTS,28-Apr-2022,0.0,XX,738.35,754.45,735.0,753.5,753.5,23,214.38,27500,12500,02-FEB-2022,
FUTSTK,ALKEM,24-Feb-2022,0.0,XX,3551.0,3579.95,3526.05,3542.95,3542.95,397,2818.09,251600,7200,02-FEB-2022,
FUTSTK,ALKEM,31-Mar-2022,0.0,XX,3564.95,3569.0,3556.05,3558.5,3558.5,14,99.72,12800,1000,02-FEB-2022,
FUTSTK,ALKEM,28-Apr-2022,0.0,XX,0.0,0.0,0.0,3416.3,3585.3,0,0.0,0,0,02-FEB-2022,
FUTSTK,AMARAJABAT,24-Feb-2022,0.0,XX,630.0,642.1,628.55,640.5,640.5,2203,14020.14,7463000,-506000,02-FEB-2022,
FUTSTK,AMARAJABAT,31-Mar-2022,0.0,XX,632.25,644.2,631.85,642.9,642.9,161,1028.77,406000,-3000,02-FEB-2022,
FUTSTK,AMARAJABAT,28-Apr-2022,0.0,XX,635.95,646.8,635.95,645.15,645.15,17,109.03,28000,2000,02-FEB-2022,
FUTSTK,AMBUJACEM,24-Feb-2022,0.0,XX,384.05,386.3,378.2,380.1,380.1,3564,20441.27,15241500,-1320000,02-FEB-2022,
FUTSTK,AMBUJACEM,31-Mar-2022,0.0,XX,382.55,384.6,376.5,378.55,378.55,353,2009.32,756000,289500,02-FEB-2022,
FUTSTK,AMBUJACEM,28-Apr-2022,0.0,XX,383.15,383.15,379.45,379.45,379.45,7,40.02,70500,7500,02-FEB-2022,
FUTSTK,APLLTD,24-Feb-2022,0.0,XX,760.3,778.45,760.3,776.6,776.6,367,1986.16,1719900,-30100,02-FEB-2022,
FUTSTK,APLLTD,31-Mar-2022,0.0,XX,773.0,776.4,773.0,776.4,778.4,6,32.55,30100,2100,02-FEB-2022,
FUTSTK,APLLTD,28-Apr-2022,0.0,XX,0.0,0.0,0.0,743.8,780.9,0,0.0,0,0,02-FEB-2022,
FUTSTK,APOLLOHOSP,24-Feb-2022,0.0,XX,4525.0,4686.85,4525.0,4673.9,4673.9,6081,35150.64,2647375,-18000,02-FEB-2022,
FUTSTK,APOLLOHOSP,31-Mar-2022,0.0,XX,4576.75,4700.65,4559.85,4687.9,4687.9,175,1016.84,49000,-2375,02-FEB-2022,
FUTSTK,APOLLOHOSP,28-Apr-2022,0.0,XX,4637.65,4707.05,4637.65,4694.55,4694.55,6,35.14,1875,250,02-FEB-2022,
FUTSTK,APOLLOTYRE,24-Feb-2022,0.0,XX,221.8,227.5,221.25,225.9,225.9,4368,24574.05,11582500,1742500,02-FEB-2022,
FUTSTK,APOLLOTYRE,31-Mar-2022,0.0,XX,222.5,228.15,222.5,226.8,226.8,165,931.2,445000,25000,02-FEB-2022,
FUTSTK,APOLLOTYRE,28-Apr-2022,0.0,XX,223.4,228.5,223.4,228.4,228.4,11,62.27,30000,10000,02-FEB-2022,
FUTSTK,ASHOKLEY,24-Feb-2022,0.0,XX,133.0,135.65,132.35,134.4,134.4,4738,28531.28,32080500,1039500,02-FEB-2022,
FUTSTK,ASHOKLEY,31-Mar-2022,0.0,XX,133.95,136.0,132.85,134.95,134.95,174,1052.16,823500,31500,02-FEB-2022,
FUTSTK,ASHOKLEY,28-Apr-2022,0.0,XX,134.0,136.0,133.45,135.35,135.35,30,181.39,148500,13500,02-FEB-2022,
FUTSTK,ASIANPAINT,24-Feb-2022,0.0,XX,3213.95,3249.0,3206.0,3212.35,3212.35,4184,20197.85,4010850,39300,02-FEB-2022,
FUTSTK,ASIANPAINT,31-Mar-2022,0.0,XX,3226.55,3260.0,3220.0,3225.05,3225.05,240,1163.41,120600,8250,02-FEB-2022,
FUTSTK,ASIANPAINT,28-Apr-2022,0.0,XX,3255.0,3259.5,3230.0,3235.25,3235.25,23,111.8,5850,1650,02-FEB-2022,
FUTSTK,ASTRAL,24-Feb-2022,0.0,XX,2185.0,2241.35,2171.05,2229.4,2229.4,851,5181.8,902275,-18975,02-FEB-2022,
FUTSTK,ASTRAL,31-Mar-2022,0.0,XX,2198.0,2242.4,2198.0,2240.65,2240.65,12,73.22,8800,825,02-FEB-2022,
FUTSTK,ASTRAL,28-Apr-2022,0.0,XX,0.0,0.0,0.0,2095.6,2242.15,0,0.0,0,0,02-FEB-2022,
FUTSTK,ATUL,24-Feb-2022,0.0,XX,9850.0,9869.35,9576.05,9683.05,9683.05,644,4695.03,87750,6300,02-FEB-2022,
FUTSTK,ATUL,31-Mar-2022,0.0,XX,9858.85,9858.85,9648.95,9692.9,9692.9,43,312.3,4575,2550,02-FEB-2022,
FUTSTK,ATUL,28-Apr-2022,0.0,XX,0.0,0.0,0.0,9517.65,9760.8,0,0.0,0,0,02-FEB-2022,
FUTSTK,AUBANK,24-Feb-2022,0.0,XX,1348.25,1396.2,1340.55,1388.1,1388.1,4673,32244.61,3142000,161000,02-FEB-2022,
FUTSTK,AUBANK,31-Mar-2022,0.0,XX,1336.4,1392.2,1336.4,1386.85,1386.85,256,1764.64,97500,-500,02-FEB-2022,
FUTSTK,AUBANK,28-Apr-2022,0.0,XX,1364.0,1392.7,1364.0,1388.4,1388.4,48,331.65,17500,12000,02-FEB-2022,
FUTSTK,AUROPHARMA,24-Feb-2022,0.0,XX,656.95,676.05,656.95,673.8,673.8,3127,15678.72,14857500,-177750,02-FEB-2022,
FUTSTK,AUROPHARMA,31-Mar-2022,0.0,XX,662.1,678.45,662.1,676.95,676.95,139,698.47,331500,9750,02-FEB-2022,
FUTSTK,AUROPHARMA,28-Apr-2022,0.0,XX,673.0,676.4,670.0,676.4,680.5,8,40.36,6750,3000,02-FEB-2022,
FUTSTK,AXISBANK,24-Feb-2022,0.0,XX,791.5,806.85,788.6,804.6,804.6,14737,141780.63,44817600,848400,02-FEB-2022,
FUTSTK,AXISBANK,31-Mar-2022,0.0,XX,796.65,809.55,791.9,807.6,807.6,441,4258.5,862800,-9600,02-FEB-2022,
FUTSTK,AXISBANK,28-Apr-2022,0.0,XX,795.0,812.35,795.0,809.8,809.8,52,504.47,49200,2400,02-FEB-2022,
FUTSTK,BAJAJ-AUTO,24-Feb-2022,0.0,XX,3554.75,3593.35,3526.35,3540.1,3540.1,1605,14281.41,2055000,-28750,02-FEB-2022,
FUTSTK,BAJAJ-AUTO,31-Mar-2022,0.0,XX,3575.0,3603.35,3542.0,3554.05,3554.05,61,545.61,49000,0,02-FEB-2022,
FUTSTK,BAJAJ-AUTO,28-Apr-2022,0.0,XX,3586.65,3605.9,3586.65,3601.0,3569.95,5,45.0,3500,750,02-FEB-2022,
FUTSTK,BAJAJFINSV,24-Feb-2022,0.0,XX,16044.1,16795.95,15971.0,16721.45,16721.45,9433,78210.06,691250,-31550,02-FEB-2022,
FUTSTK,BAJAJFINSV,31-Mar-2022,0.0,XX,16049.65,16850.0,16049.65,16786.95,16786.95,314,2605.26,18350,350,02-FEB-2022,
FUTSTK,BAJAJFINSV,28-Apr-2022,0.0,XX,16150.0,16925.0,16150.0,16856.75,16856.75,57,476.73,2800,1400,02-FEB-2022,
FUTSTK,BAJFINANCE,24-Feb-2022,0.0,XX,7125.0,7312.75,7120.0,7267.2,7267.2,15259,138192.52,4542375,-91375,02-FEB-2022,
FUTSTK,BAJFINANCE,31-Mar-2022,0.0,XX,7199.9,7338.05,7164.9,7295.7,7295.7,590,5363.55,152250,7250,02-FEB-2022,
FUTSTK,BAJFINANCE,28-Apr-2022,0.0,XX,7212.05,7367.75,7190.0,7318.7,7318.7,58,529.94,8875,-125,02-FEB-2022,
FUTSTK,BALKRISIND,24-Feb-2022,0.0,XX,2372.55,2381.65,2320.9,2323.75,2323.75,1064,4985.7,1059000,21800,02-FEB-2022,
FUTSTK,BALKRISIND,31-Mar-2022,0.0,XX,2363.7,2363.7,2330.0,2334.2,2334.2,21,98.43,9600,1200,02-FEB-2022,
FUTSTK,BALKRISIND,28-Apr-2022,0.0,XX,2365.0,2365.0,2350.0,2350.0,2343.6,3,14.13,1400,600,02-FEB-2022,
FUTSTK,BALRAMCHIN,24-Feb-2022,0.0,XX,426.5,429.2,403.55,414.05,414.05,3721,24891.59,6659200,360000,02-FEB-2022,
FUTSTK,BALRAMCHIN,31-Mar-2022,0.0,XX,429.1,429.7,405.65,414.7,414.7,107,714.04,134400,3200,02-FEB-2022,
FUTSTK,BALRAMCHIN,28-Apr-2022,0.0,XX,429.0,429.0,429.0,429.0,419.4,1,6.86,4800,1600,02-FEB-2022,
FUTSTK,BANDHANBNK,24-Feb-2022,0.0,XX,319.0,325.8,318.6,321.85,321.85,3006,17422.16,19918800,246600,02-FEB-2022,
FUTSTK,BANDHANBNK,31-Mar-2022,0.0,XX,321.4,326.15,320.0,323.1,323.1,60,348.45,268200,14400,02-FEB-2022,
FUTSTK,BANDHANBNK,28-Apr-2022,0.0,XX,324.25,325.8,322.65,324.5,324.5,5,29.17,16200,5400,02-FEB-2022,
FUTSTK,BANKBARODA,24-Feb-2022,0.0,XX,106.05,110.7,106.0,109.85,109.85,6715,85371.1,134000100,7090200,02-FEB-2022,
FUTSTK,BANKBARODA,31-Mar-2022,0.0,XX,107.6,111.05,107.05,110.4,110.4,232,2963.23,2492100,-23400,02-FEB-2022,
FUTSTK,BANKBARODA,28-Apr-2022,0.0,XX,108.45,111.0,108.0,110.6,110.6,18,230.8,327600,-46800,02-FEB-2022,
FUTSTK,BATAINDIA,24-Feb-2022,0.0,XX,2045.35,2056.95,2020.75,2035.5,2035.5,956,10722.06,1241900,19800,02-FEB-2022,
FUTSTK,BATAINDIA,31-Mar-2022,0.0,XX,2059.6,2060.0,2030.0,2044.7,2044.7,19,214.03,37400,4400,02-FEB-2022,
FUTSTK,BATAINDIA,28-Apr-2022,0.0,XX,2049.3,2049.3,2049.3,2049.3,2046.25,1,11.27,2750,0,02-FEB-2022,
FUTSTK,BEL,24-Feb-2022,0.0,XX,209.0,211.7,207.9,210.3,210.3,3365,26874.42,31638800,38000,02-FEB-2022,
FUTSTK,BEL,31-Mar-2022,0.0,XX,209.15,212.0,208.65,210.55,210.55,152,1216.87,938600,22800,02-FEB-2022,
FUTSTK,BEL,28-Apr-2022,0.0,XX,211.3,212.2,210.6,211.45,211.45,15,120.4,129200,34200,02-FEB-2022,
FUTSTK,BERGEPAINT,24-Feb-2022,0.0,XX,737.45,749.0,737.0,745.7,745.7,958,7836.22,4382400,1100,02-FEB-2022,
FUTSTK,BERGEPAINT,31-Mar-2022,0.0,XX,744.0,749.0,742.9,748.85,748.85,34,279.15,114400,-1100,02-FEB-2022,
FUTSTK,BERGEPAINT,28-Apr-2022,0.0,XX,742.85,746.7,742.85,746.7,750.0,2,16.38,3300,2200,02-FEB-2022,
FUTSTK,BHARATFORG,24-Feb-2022,0.0,XX,756.65,763.25,746.05,756.15,756.15,1841,10425.45,5558250,52500,02-FEB-2022,
FUTSTK,BHARATFORG,31-Mar-2022,0.0,XX,759.0,761.15,752.2,758.65,758.65,26,147.67,71250,1500,02-FEB-2022,
FUTSTK,BHARATFORG,28-Apr-2022,0.0,XX,759.5,759.5,754.5,754.5,760.65,4,22.74,6000,1500,02-FEB-2022,
FUTSTK,BHARTIARTL,24-Feb-2022,0.0,XX,728.65,734.5,723.1,728.3,728.3,5720,39559.98,55282400,392350,02-FEB-2022,
FUTSTK,BHARTIARTL,31-Mar-2022,0.0,XX,731.3,737.5,726.5,731.2,731.2,156,1083.89,721050,35150,02-FEB-2022,
FUTSTK,BHARTIARTL,28-Apr-2022,0.0,XX,736.85,739.35,731.0,732.0,732.25,19,132.33,91200,11400,02-FEB-2022,
FUTSTK,BHEL,24-Feb-2022,0.0,XX,60.45,61.95,59.95,60.65,60.65,3348,21440.97,125002500,-1029000,02-FEB-2022,
FUTSTK,BHEL,31-Mar-2022,0.0,XX,60.45,62.1,60.25,60.95,60.95,180,1159.3,5953500,273000,02-FEB-2022,
FUTSTK,BHEL,28-Apr-2022,0.0,XX,60.45,61.9,60.45,61.0,61.0,15,96.5,651000,21000,02-FEB-2022,
FUTSTK,BIOCON,24-Feb-2022,0.0,XX,372.8,391.7,372.8,388.9,388.9,3181,28403.5,14377300,381800,02-FEB-2022,
FUTSTK,BIOCON,31-Mar-2022,0.0,XX,381.45,392.6,381.4,390.15,390.15,179,1604.2,299000,16100,02-FEB-2022,
FUTSTK,BIOCON,28-Apr-2022,0.0,XX,391.05,394.05,390.0,392.9,391.1,7,63.04,48300,16100,02-FEB-2022,
FUTSTK,BOSCHLTD,24-Feb-2022,0.0,XX,16871.3,16999.95,16669.5,16729.4,16729.4,531,4461.69,124700,-50,02-FEB-2022,
FUTSTK,BOSCHLTD,31-Mar-2022,0.0,XX,16980.0,17000.0,16700.0,16737.45,16737.45,32,269.72,3400,-450,02-FEB-2022,
FUTSTK,BOSCHLTD,28-Apr-2022,0.0,XX,17054.0,17054.0,16828.4,16828.4,16862.05,3,25.46,150,150,02-FEB-2022,
FUTSTK,BPCL,24-Feb-2022,0.0,XX,380.05,380.05,375.65,378.9,378.9,3247,22111.6,27748800,243000,02-FEB-2022,
FUTSTK,BPCL,31-Mar-2022,0.0,XX,380.05,380.2,376.8,379.6,379.6,168,1145.74,928800,57600,02-FEB-2022,
FUTSTK,BPCL,28-Apr-2022,0.0,XX,380.45,381.3,379.45,381.3,381.3,12,82.1,45000,-1800,02-FEB-2022,
FUTSTK,BRITANNIA,24-Feb-2022,0.0,XX,3657.45,3665.55,3611.35,3636.3,3636.3,1213,8826.91,1236600,9000,02-FEB-2022,
FUTSTK,BRITANNIA,31-Mar-2022,0.0,XX,3660.0,3667.55,3627.45,3651.0,3651.0,74,539.69,29200,6800,02-FEB-2022,
