INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,28-Apr-2022,0.0,XX,37499.95,38030.0,37400.0,37878.1,37878.1,186079,1751825.08,2102525,25850,12-APR-2022,
FUTIDX,BANKNIFTY,26-May-2022,0.0,XX,37666.05,38137.95,37527.15,37990.35,37990.35,9036,85305.64,233775,-4675,12-APR-2022,
FUTIDX,BANKNIFTY,30-Jun-2022,0.0,XX,37746.6,38250.0,37650.0,38111.25,38111.25,2116,20035.13,54600,1700,12-APR-2022,
FUTIDX,FINNIFTY,26-Apr-2022,0.0,XX,17649.7,17700.0,17493.45,17600.0,17600.0,94,660.21,1800,-1200,12-APR-2022,
FUTIDX,FINNIFTY,31-May-2022,0.0,XX,17549.5,17635.95,17549.5,17635.95,17672.5,2,14.07,320,-40,12-APR-2022,
FUTIDX,FINNIFTY,28-Jun-2022,0.0,XX,0.0,0.0,0.0,17897.7,17730.05,0,0.0,0,0,12-APR-2022,
FUTIDX,MIDCPNIFTY,12-Apr-2022,0.0,XX,0.0,0.0,0.0,7447.95,7511.0,0,0.0,0,0,12-APR-2022,
FUTIDX,MIDCPNIFTY,19-Apr-2022,0.0,XX,0.0,0.0,0.0,7363.45,7516.95,0,0.0,0,0,12-APR-2022,
FUTIDX,MIDCPNIFTY,26-Apr-2022,0.0,XX,7560.65,7560.65,7500.15,7500.15,7522.85,7,39.59,1200,150,12-APR-2022,
FUTIDX,MIDCPNIFTY,02-May-2022,0.0,XX,0.0,0.0,0.0,7060.05,7527.95,0,0.0,0,0,12-APR-2022,
FUTIDX,MIDCPNIFTY,10-May-2022,0.0,XX,0.0,0.0,0.0,6721.4,7534.75,0,0.0,0,0,12-APR-2022,
FUTIDX,MIDCPNIFTY,17-May-2022,0.0,XX,0.0,0.0,0.0,6981.6,7541.6,0,0.0,0,0,12-APR-2022,
FUTIDX,MIDCPNIFTY,24-May-2022,0.0,XX,0.0,0.0,0.0,7209.4,7547.75,0,0.0,0,0,12-APR-2022,
FUTIDX,MIDCPNIFTY,31-May-2022,0.0,XX,0.0,0.0,0.0,7635.0,7553.9,0,0.0,525,0,12-APR-2022,
FUTIDX,MIDCPNIFTY,07-Jun-2022,0.0,XX,0.0,0.0,0.0,7654.85,7560.05,0,0.0,0,0,12-APR-2022,
FUTIDX,MIDCPNIFTY,28-Jun-2022,0.0,XX,0.0,0.0,0.0,7890.0,7578.5,0,0.0,225,0,12-APR-2022,
FUTIDX,NIFTY,28-Apr-2022,0.0,XX,17600.1,17634.2,17482.0,17576.8,17576.8,232847,2044854.84,9284050,125700,12-APR-2022,
FUTIDX,NIFTY,26-May-2022,0.0,XX,17678.0,17678.0,17530.0,17622.1,17622.1,12721,112020.42,1695500,73650,12-APR-2022,
FUTIDX,NIFTY,30-Jun-2022,0.0,XX,17711.85,17752.0,17573.6,17663.55,17663.55,5211,45979.02,396400,60800,12-APR-2022,
FUTSTK,AARTIIND,28-Apr-2022,0.0,XX,960.0,965.75,942.1,956.05,956.05,698,5651.37,1858100,-15300,12-APR-2022,
FUTSTK,AARTIIND,26-May-2022,0.0,XX,961.25,961.25,945.0,957.35,957.35,26,210.56,95200,2550,12-APR-2022,
FUTSTK,AARTIIND,30-Jun-2022,0.0,XX,948.0,961.0,948.0,961.0,961.0,4,32.43,8500,0,12-APR-2022,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2286.7,2286.7,2149.45,2211.4,2211.4,507,2772.62,268250,-24250,12-APR-2022,
FUTSTK,ABB,26-May-2022,0.0,XX,2196.7,2201.8,2180.7,2201.8,2201.8,3,16.44,8000,500,12-APR-2022,
FUTSTK,ABB,30-Jun-2022,0.0,XX,0.0,0.0,0.0,2180.9,2226.9,0,0.0,0,0,12-APR-2022,
FUTSTK,ABBOTINDIA,28-Apr-2022,0.0,XX,18173.6,18173.6,17828.25,17898.3,17898.3,441,1975.51,30575,-1725,12-APR-2022,
FUTSTK,ABBOTINDIA,26-May-2022,0.0,XX,17987.75,18116.7,17938.75,17994.8,17994.8,15,67.48,1750,125,12-APR-2022,
FUTSTK,ABBOTINDIA,30-Jun-2022,0.0,XX,18106.45,18106.45,18106.45,18106.45,17984.1,1,4.52,200,25,12-APR-2022,
FUTSTK,ABCAPITAL,28-Apr-2022,0.0,XX,116.35,119.55,113.3,118.05,118.05,3799,19511.77,20702000,1962400,12-APR-2022,
FUTSTK,ABCAPITAL,26-May-2022,0.0,XX,116.55,119.8,113.85,118.4,118.4,389,1998.65,1108800,294800,12-APR-2022,
FUTSTK,ABCAPITAL,30-Jun-2022,0.0,XX,115.75,120.0,114.8,119.0,119.0,33,170.03,127600,48400,12-APR-2022,
FUTSTK,ABFRL,28-Apr-2022,0.0,XX,304.35,305.0,291.1,297.5,297.5,1951,15085.55,11057800,-473200,12-APR-2022,
FUTSTK,ABFRL,26-May-2022,0.0,XX,304.3,305.95,292.65,299.15,299.15,89,690.78,371800,23400,12-APR-2022,
FUTSTK,ABFRL,30-Jun-2022,0.0,XX,299.0,301.35,297.55,300.75,299.0,7,54.48,33800,7800,12-APR-2022,
FUTSTK,ACC,28-Apr-2022,0.0,XX,2248.0,2248.05,2176.4,2191.0,2191.0,7032,38799.49,3150000,24250,12-APR-2022,
FUTSTK,ACC,26-May-2022,0.0,XX,2244.15,2250.25,2187.25,2195.15,2195.15,477,2641.92,85750,33250,12-APR-2022,
FUTSTK,ACC,30-Jun-2022,0.0,XX,2231.6,2236.0,2195.0,2211.9,2211.9,31,172.2,8000,0,12-APR-2022,
FUTSTK,ADANIENT,28-Apr-2022,0.0,XX,2187.85,2222.15,2156.6,2200.8,2200.8,11125,122092.03,18963500,31500,12-APR-2022,
FUTSTK,ADANIENT,26-May-2022,0.0,XX,2191.55,2226.0,2166.75,2207.3,2207.3,554,6098.35,189500,13000,12-APR-2022,
FUTSTK,ADANIENT,30-Jun-2022,0.0,XX,2196.0,2222.0,2170.0,2210.05,2210.05,104,1147.89,34500,500,12-APR-2022,
FUTSTK,ADANIPORTS,28-Apr-2022,0.0,XX,852.85,860.4,835.2,847.5,847.5,9143,97077.51,75333750,-137500,12-APR-2022,
FUTSTK,ADANIPORTS,26-May-2022,0.0,XX,861.55,863.4,839.4,851.15,851.15,494,5271.13,1411250,117500,12-APR-2022,
