INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,SIEMENS,29-Jul-2021,1300.0,CE,0.0,0.0,0.0,593.1,715.0,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,ADANIENT,24-Jun-2021,1260.0,PE,0.0,0.0,0.0,311.15,96.05,0.0,0.0,0.0,0.0,12-May-2021
OPTIDX,NIFTY,12-May-2021,15400.0,CE,0.4,0.8,0.05,0.1,14696.5,87238.0,1007627.01,970275.0,-563250.0,12-May-2021
OPTSTK,BAJFINANCE,29-Jul-2021,6600.0,CE,0.0,0.0,0.0,310.55,218.3,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,IRCTC,27-May-2021,1740.0,PE,26.9,56.9,26.9,48.9,48.9,76.0,441.64,11700.0,4550.0,12-May-2021
OPTSTK,RECLTD,27-May-2021,120.0,PE,0.2,0.45,0.15,0.3,0.3,97.0,700.0,762000.0,-30000.0,12-May-2021
OPTSTK,RBLBANK,24-Jun-2021,215.0,CE,0.0,0.0,0.0,8.0,9.4,0.0,0.0,5800.0,0.0,12-May-2021
OPTSTK,AARTIIND,27-May-2021,1100.0,PE,0.0,0.0,0.0,53.6,0.0,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,BANKBARODA,27-May-2021,87.5,PE,0.0,0.0,0.0,19.25,10.95,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,RBLBANK,29-Jul-2021,265.0,CE,0.0,0.0,0.0,8.7,6.1,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,DABUR,24-Jun-2021,590.0,PE,0.0,0.0,0.0,75.4,61.85,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,IOC,29-Jul-2021,121.0,PE,0.0,0.0,0.0,31.5,19.4,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,PNB,24-Jun-2021,38.0,CE,0.0,0.0,0.0,3.15,2.6,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,LTTS,27-May-2021,3350.0,CE,0.0,0.0,0.0,0.05,0.45,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,CHOLAFIN,27-May-2021,690.0,PE,0.0,0.0,0.0,188.85,165.9,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,BANDHANBNK,24-Jun-2021,295.0,PE,0.0,0.0,0.0,23.55,31.25,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,AUBANK,29-Jul-2021,920.0,PE,0.0,0.0,0.0,43.55,87.0,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,AMARAJABAT,29-Jul-2021,1060.0,CE,0.0,0.0,0.0,8.3,5.85,0.0,0.0,0.0,0.0,12-May-2021
