INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,31-Aug-2023,0.0,XX,44636.4,44781.15,44116.85,44232.2,44232.2,159376,1064458.74,1020825,-237060,30-AUG-2023,
FUTIDX,BANKNIFTY,28-Sep-2023,0.0,XX,44900.0,44999.0,44360.0,44501.4,44501.4,64940,435962.85,1203675,330465,30-AUG-2023,
FUTIDX,BANKNIFTY,26-Oct-2023,0.0,XX,45056.15,45229.8,44678.55,44746.25,44746.25,3464,23363.0,134445,6630,30-AUG-2023,
FUTIDX,FINNIFTY,26-Sep-2023,0.0,XX,19968.95,20006.15,19786.5,19815.95,19815.95,1262,10059.45,41680,3160,30-AUG-2023,
FUTIDX,FINNIFTY,31-Oct-2023,0.0,XX,20054.0,20054.0,19925.0,19925.0,19925.0,4,32.02,1080,0,30-AUG-2023,
FUTIDX,FINNIFTY,28-Nov-2023,0.0,XX,0.0,0.0,0.0,20158.6,20053.75,0,0.0,0,0,30-AUG-2023,
FUTIDX,MIDCPNIFTY,25-Sep-2023,0.0,XX,8850.1,8923.7,8850.1,8897.05,8897.05,907,6054.17,80775,7575,30-AUG-2023,
FUTIDX,MIDCPNIFTY,30-Oct-2023,0.0,XX,8904.7,8939.0,8892.25,8892.25,8892.25,26,174.05,975,750,30-AUG-2023,
FUTIDX,MIDCPNIFTY,24-Nov-2023,0.0,XX,0.0,0.0,0.0,8906.2,9029.6,0,0.0,0,0,30-AUG-2023,
FUTIDX,NIFTY,31-Aug-2023,0.0,XX,19409.7,19444.05,19329.0,19342.5,19342.5,110017,1067377.36,5355000,-2070350,30-AUG-2023,
FUTIDX,NIFTY,28-Sep-2023,0.0,XX,19475.0,19542.4,19430.6,19445.3,19445.3,80071,780956.4,7488350,1663150,30-AUG-2023,
FUTIDX,NIFTY,26-Oct-2023,0.0,XX,19575.0,19625.0,19530.0,19541.6,19541.6,3119,30555.31,468200,36950,30-AUG-2023,
FUTSTK,AARTIIND,31-Aug-2023,0.0,XX,491.25,493.8,486.6,489.05,489.05,4861,23828.95,2328000,-2267000,30-AUG-2023,
FUTSTK,AARTIIND,28-Sep-2023,0.0,XX,497.2,497.2,489.95,492.35,492.35,7931,39148.74,9396000,1728000,30-AUG-2023,
FUTSTK,AARTIIND,26-Oct-2023,0.0,XX,495.5,500.0,493.5,495.7,495.7,230,1143.34,380000,91000,30-AUG-2023,
FUTSTK,ABB,31-Aug-2023,0.0,XX,4332.0,4365.6,4320.0,4334.85,4334.85,1935,20996.91,475500,-249500,30-AUG-2023,
FUTSTK,ABB,28-Sep-2023,0.0,XX,4370.0,4395.5,4350.55,4363.55,4363.55,1744,19051.18,968250,126250,30-AUG-2023,
FUTSTK,ABB,26-Oct-2023,0.0,XX,4375.0,4400.0,4375.0,4395.0,4395.0,11,120.5,13750,2250,30-AUG-2023,
FUTSTK,ABBOTINDIA,31-Aug-2023,0.0,XX,23359.05,23487.1,23199.6,23296.6,23296.6,987,9213.62,15560,-22400,30-AUG-2023,
FUTSTK,ABBOTINDIA,28-Sep-2023,0.0,XX,23520.05,23635.0,23390.3,23471.9,23471.9,855,8039.34,54320,19440,30-AUG-2023,
FUTSTK,ABBOTINDIA,26-Oct-2023,0.0,XX,0.0,0.0,0.0,23539.65,23627.5,0,0.0,600,0,30-AUG-2023,
FUTSTK,ABCAPITAL,31-Aug-2023,0.0,XX,181.95,183.85,181.05,181.5,181.5,1613,15898.34,6161400,-4746600,30-AUG-2023,
FUTSTK,ABCAPITAL,28-Sep-2023,0.0,XX,182.1,184.7,181.95,182.45,182.45,2007,19885.64,25957800,2359800,30-AUG-2023,
FUTSTK,ABCAPITAL,26-Oct-2023,0.0,XX,183.1,185.45,183.1,183.7,183.7,13,129.45,318600,54000,30-AUG-2023,
FUTSTK,ABFRL,31-Aug-2023,0.0,XX,216.15,222.2,215.75,220.85,220.85,3638,20771.38,4765800,-5194800,30-AUG-2023,
FUTSTK,ABFRL,28-Sep-2023,0.0,XX,217.95,223.8,217.25,222.4,222.4,4589,26385.53,20131800,4648800,30-AUG-2023,
FUTSTK,ABFRL,26-Oct-2023,0.0,XX,219.25,225.2,219.25,223.7,223.7,93,538.66,377000,44200,30-AUG-2023,
FUTSTK,ACC,31-Aug-2023,0.0,XX,1985.9,2012.0,1968.5,2001.85,2001.85,6461,38681.11,1273800,-1195800,30-AUG-2023,
FUTSTK,ACC,28-Sep-2023,0.0,XX,1999.05,2026.0,1980.25,2015.35,2015.35,7959,47986.84,5176800,1038000,30-AUG-2023,
FUTSTK,ACC,26-Oct-2023,0.0,XX,2008.45,2034.5,2000.0,2029.35,2029.35,25,151.13,15600,3300,30-AUG-2023,
FUTSTK,ADANIENT,31-Aug-2023,0.0,XX,2522.85,2542.35,2491.75,2511.0,2511.0,15455,116832.83,2755200,-2910000,30-AUG-2023,
FUTSTK,ADANIENT,28-Sep-2023,0.0,XX,2527.4,2559.85,2509.05,2528.05,2528.05,13428,102207.85,8380800,2634900,30-AUG-2023,
FUTSTK,ADANIENT,26-Oct-2023,0.0,XX,2540.5,2575.0,2536.0,2546.55,2546.55,83,636.96,183600,8400,30-AUG-2023,
FUTSTK,ADANIPORTS,31-Aug-2023,0.0,XX,827.9,831.75,817.0,819.5,819.5,11178,73740.4,7619200,-4084000,30-AUG-2023,
FUTSTK,ADANIPORTS,28-Sep-2023,0.0,XX,832.4,837.55,823.05,825.1,825.1,10467,69557.97,34639200,4205600,30-AUG-2023,
FUTSTK,ADANIPORTS,26-Oct-2023,0.0,XX,837.4,843.4,829.1,830.1,830.1,92,615.95,343200,22400,30-AUG-2023,
FUTSTK,ALKEM,31-Aug-2023,0.0,XX,3747.4,3747.4,3685.0,3698.3,3698.3,1349,10029.4,117800,-143600,30-AUG-2023,
FUTSTK,ALKEM,28-Sep-2023,0.0,XX,3743.7,3756.0,3710.0,3718.9,3718.9,1434,10720.75,588400,136400,30-AUG-2023,
FUTSTK,ALKEM,26-Oct-2023,0.0,XX,3759.2,3766.1,3733.65,3752.45,3752.45,4,30.02,2600,400,30-AUG-2023,
FUTSTK,AMBUJACEM,31-Aug-2023,0.0,XX,442.0,445.55,440.15,443.7,443.7,9202,73433.22,13127400,-11293200,30-AUG-2023,
FUTSTK,AMBUJACEM,28-Sep-2023,0.0,XX,447.2,448.9,443.05,446.8,446.8,9271,74526.75,55036800,11611800,30-AUG-2023,
FUTSTK,AMBUJACEM,26-Oct-2023,0.0,XX,447.0,452.15,447.0,450.05,450.05,50,405.38,655200,43200,30-AUG-2023,
FUTSTK,APOLLOHOSP,31-Aug-2023,0.0,XX,4879.75,4890.0,4847.4,4863.25,4863.25,5721,34834.51,593875,-472250,30-AUG-2023,
FUTSTK,APOLLOHOSP,28-Sep-2023,0.0,XX,4909.85,4923.0,4881.45,4897.55,4897.55,6160,37766.77,1788875,487375,30-AUG-2023,
FUTSTK,APOLLOHOSP,26-Oct-2023,0.0,XX,4932.25,4955.45,4919.5,4935.0,4935.0,60,370.15,8875,1625,30-AUG-2023,
FUTSTK,APOLLOTYRE,31-Aug-2023,0.0,XX,390.65,395.65,388.95,390.45,390.45,2408,16010.4,2612900,-1742500,30-AUG-2023,
FUTSTK,APOLLOTYRE,28-Sep-2023,0.0,XX,392.3,395.6,390.3,391.85,391.85,3087,20602.58,8500000,605200,30-AUG-2023,
