INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,METROPOLIS,29-Mar-2023,1280.0,CE,0.0,0.0,0.0,154.85,109.2,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,CANFINHOME,29-Mar-2023,620.0,CE,0.0,0.0,0.0,18.0,28.35,0.0,0.0,975.0,0.0,13-Feb-2023
OPTSTK,PVR,29-Mar-2023,1420.0,CE,0.0,0.0,0.0,341.6,291.6,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,MCX,29-Mar-2023,1360.0,CE,0.0,0.0,0.0,256.95,118.95,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,BIOCON,29-Mar-2023,207.5,PE,0.0,0.0,0.0,2.05,1.9,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,ACC,29-Mar-2023,2060.0,PE,0.0,0.0,0.0,26.75,252.75,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,SBICARD,29-Mar-2023,780.0,PE,0.0,0.0,0.0,47.15,54.5,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,DALBHARAT,29-Mar-2023,1840.0,CE,0.0,0.0,0.0,185.9,171.4,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,TORNTPHARM,29-Mar-2023,1460.0,CE,0.0,0.0,0.0,169.45,100.75,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,TATAMOTORS,29-Mar-2023,490.0,PE,0.0,0.0,0.0,105.2,57.15,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,RBLBANK,29-Mar-2023,150.0,PE,2.45,3.1,2.45,2.8,7.1,25.0,191.16,110000.0,65000.0,13-Feb-2023
OPTSTK,GRANULES,29-Mar-2023,300.0,CE,9.0,9.0,7.45,7.7,7.7,5.0,30.79,12000.0,2000.0,13-Feb-2023
OPTSTK,SBICARD,29-Mar-2023,770.0,CE,0.0,0.0,0.0,24.0,27.35,0.0,0.0,3200.0,0.0,13-Feb-2023
OPTSTK,POWERGRID,29-Mar-2023,182.5,CE,0.0,0.0,0.0,34.1,35.5,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,NTPC,29-Mar-2023,180.0,CE,1.0,1.1,1.0,1.1,1.1,3.0,30.95,17100.0,17100.0,13-Feb-2023
OPTSTK,M&MFIN,29-Mar-2023,270.0,PE,0.0,0.0,0.0,12.7,22.2,0.0,0.0,12000.0,0.0,13-Feb-2023
OPTSTK,PETRONET,29-Mar-2023,207.5,CE,0.0,0.0,0.0,18.0,17.8,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,NAVINFLUOR,29-Mar-2023,3400.0,CE,0.0,0.0,0.0,790.25,897.45,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,APOLLOHOSP,29-Mar-2023,5200.0,PE,0.0,0.0,0.0,750.7,827.95,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,MRF,29-Mar-2023,78500.0,CE,0.0,0.0,0.0,12085.15,11515.2,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,DEEPAKNTR,29-Mar-2023,1860.0,CE,0.0,0.0,0.0,262.9,75.95,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,JUBLFOOD,29-Mar-2023,450.0,PE,0.0,0.0,0.0,16.2,21.3,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,BALKRISIND,29-Mar-2023,2220.0,CE,0.0,0.0,0.0,118.3,55.3,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,TATAPOWER,29-Mar-2023,217.5,CE,0.0,0.0,0.0,15.25,7.45,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,UPL,29-Mar-2023,830.0,PE,0.0,0.0,0.0,116.15,99.35,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,DIXON,29-Mar-2023,3000.0,CE,55.0,55.0,36.5,38.3,38.3,79.0,300.18,21125.0,2000.0,13-Feb-2023
OPTSTK,PIDILITIND,23-Feb-2023,1940.0,CE,0.0,0.0,0.0,682.5,365.65,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,DLF,23-Feb-2023,455.0,PE,0.0,0.0,0.0,73.1,96.25,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,ASTRAL,23-Feb-2023,2380.0,CE,0.0,0.0,0.0,27.05,0.05,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,WHIRLPOOL,23-Feb-2023,1360.0,PE,0.0,0.0,0.0,88.15,73.3,0.0,0.0,4200.0,0.0,13-Feb-2023
OPTSTK,VOLTAS,23-Feb-2023,870.0,CE,10.05,10.05,5.45,7.85,7.85,1286.0,6772.42,268800.0,-2400.0,13-Feb-2023
OPTSTK,CHAMBLFERT,23-Feb-2023,300.0,CE,5.15,6.85,4.4,5.75,5.75,808.0,3705.09,726000.0,-72000.0,13-Feb-2023
OPTSTK,ADANIPORTS,23-Feb-2023,1040.0,CE,0.0,0.0,0.0,0.9,0.0,0.0,0.0,625.0,0.0,13-Feb-2023
OPTSTK,BSOFT,23-Feb-2023,265.0,CE,0.0,0.0,0.0,28.95,25.0,0.0,0.0,46000.0,0.0,13-Feb-2023
OPTSTK,TATAMOTORS,23-Feb-2023,375.0,CE,0.0,0.0,0.0,71.95,66.95,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,ALKEM,23-Feb-2023,3480.0,PE,0.0,0.0,0.0,454.3,211.9,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,DIXON,23-Feb-2023,4900.0,CE,0.0,0.0,0.0,231.3,0.0,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,DIXON,23-Feb-2023,5100.0,PE,0.0,0.0,0.0,811.8,2424.85,0.0,0.0,0.0,0.0,13-Feb-2023
FUTSTK,COFORGE,23-Feb-2023,0.0,XX,4105.0,4139.1,3983.1,4034.9,4034.9,16961.0,103497.58,1291350.0,285150.0,13-Feb-2023
OPTSTK,WIPRO,23-Feb-2023,370.0,CE,0.0,0.0,0.0,35.0,31.8,0.0,0.0,12000.0,0.0,13-Feb-2023
OPTSTK,RBLBANK,23-Feb-2023,150.0,PE,0.55,0.85,0.45,0.6,0.6,569.0,4285.63,2220000.0,-100000.0,13-Feb-2023
OPTSTK,ABFRL,23-Feb-2023,290.0,CE,0.3,0.3,0.15,0.15,0.15,56.0,422.55,676000.0,28600.0,13-Feb-2023
OPTSTK,TATACONSUM,23-Feb-2023,760.0,CE,2.25,2.3,1.3,1.5,1.5,281.0,1925.89,522900.0,-15300.0,13-Feb-2023
OPTSTK,INDIAMART,23-Feb-2023,4050.0,PE,0.0,0.0,0.0,191.25,3.15,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,GODREJPROP,23-Feb-2023,1240.0,CE,15.05,17.95,7.6,8.2,8.2,1079.0,5741.97,155975.0,14450.0,13-Feb-2023
OPTSTK,BEL,23-Feb-2023,122.0,CE,0.0,0.0,0.0,0.05,0.0,0.0,0.0,290700.0,0.0,13-Feb-2023
OPTSTK,IDFCFIRSTB,23-Feb-2023,57.0,PE,0.9,1.25,0.85,1.15,1.15,463.0,4032.83,3570000.0,45000.0,13-Feb-2023
OPTSTK,TVSMOTOR,23-Feb-2023,1180.0,PE,108.0,108.0,108.0,108.0,110.35,4.0,36.06,4900.0,2100.0,13-Feb-2023
OPTSTK,FEDERALBNK,23-Feb-2023,156.0,PE,0.0,0.0,0.0,24.7,25.35,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,COLPAL,23-Feb-2023,1680.0,CE,0.0,0.0,0.0,49.35,0.0,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,IEX,23-Feb-2023,175.0,PE,0.0,0.0,0.0,34.7,40.85,0.0,0.0,217500.0,0.0,13-Feb-2023
OPTSTK,ASHOKLEY,23-Feb-2023,142.5,CE,7.3,7.3,7.25,7.25,8.4,2.0,14.97,20000.0,-5000.0,13-Feb-2023
OPTSTK,JINDALSTEL,23-Feb-2023,680.0,PE,0.0,0.0,0.0,85.0,94.9,0.0,0.0,1250.0,0.0,13-Feb-2023
OPTSTK,DLF,23-Feb-2023,345.0,CE,17.25,17.25,17.25,17.25,18.25,1.0,5.97,67650.0,-1650.0,13-Feb-2023
OPTSTK,FSL,23-Feb-2023,116.0,PE,1.15,1.5,1.0,1.15,2.05,43.0,262.28,104000.0,26000.0,13-Feb-2023
OPTSTK,HDFC,23-Feb-2023,3040.0,PE,0.0,0.0,0.0,381.3,335.1,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,HAVELLS,23-Feb-2023,1090.0,PE,0.0,0.0,0.0,47.5,1.9,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,ICICIBANK,23-Feb-2023,1090.0,CE,0.25,0.25,0.15,0.2,0.2,21.0,160.25,111300.0,0.0,13-Feb-2023
OPTSTK,CHAMBLFERT,23-Feb-2023,345.0,CE,0.0,0.0,0.0,1.0,0.6,0.0,0.0,16500.0,0.0,13-Feb-2023
OPTSTK,GUJGASLTD,23-Feb-2023,550.0,PE,0.0,0.0,0.0,69.0,64.8,0.0,0.0,3750.0,0.0,13-Feb-2023
OPTSTK,OFSS,23-Feb-2023,3520.0,CE,0.0,0.0,0.0,20.6,0.45,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,INDHOTEL,23-Feb-2023,350.0,CE,0.5,0.55,0.25,0.3,0.3,180.0,1261.19,790000.0,20000.0,13-Feb-2023
OPTSTK,IDFC,23-Feb-2023,76.0,PE,1.25,1.25,0.8,1.05,1.05,204.0,1571.24,910000.0,640000.0,13-Feb-2023
OPTSTK,HEROMOTOCO,23-Feb-2023,2760.0,CE,3.85,4.1,2.5,2.5,2.5,61.0,505.63,30600.0,-4800.0,13-Feb-2023
OPTSTK,LTTS,23-Feb-2023,3000.0,PE,3.1,3.1,1.9,2.05,0.65,31.0,186.13,35200.0,-1600.0,13-Feb-2023
OPTSTK,RECLTD,23-Feb-2023,139.75,CE,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,EXIDEIND,23-Feb-2023,202.5,PE,0.0,0.0,0.0,23.25,22.2,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,DIVISLAB,23-Feb-2023,2760.0,PE,26.05,51.15,25.75,39.4,39.4,379.0,1592.66,21300.0,3450.0,13-Feb-2023
OPTSTK,VOLTAS,29-Mar-2023,840.0,CE,39.05,40.0,39.0,40.0,49.35,3.0,15.82,6000.0,0.0,13-Feb-2023
OPTSTK,AXISBANK,29-Mar-2023,850.0,PE,16.4,19.9,15.3,18.9,18.9,94.0,978.76,153600.0,-6000.0,13-Feb-2023
OPTSTK,IEX,29-Mar-2023,147.5,CE,0.0,0.0,0.0,10.2,3.5,0.0,0.0,0.0,0.0,13-Feb-2023
