TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-07-24,2024-07-24,FO,NSE,STO,128382,,NATIONALUM,,2024-07-25,2024-07-25,197.5,PE,NATIONALUM24JUL197.5PE,10.95,10.95,9.9,10.65,10.65,13.0,186.57,10.95,112500,-37500,14,10924312.5,13,F1,3750,,,,,
2024-07-24,2024-07-24,FO,NSE,STO,149067,,NATIONALUM,,2024-09-26,2024-09-26,180.0,CE,NATIONALUM24SEP180CE,0.0,0.0,0.0,25.5,0.0,25.5,186.57,22.1,0,0,0,0.0,0,F1,3750,,,,,
2024-07-24,2024-07-24,FO,NSE,STO,134571,,NATIONALUM,,2024-07-25,2024-07-25,230.0,PE,NATIONALUM24JUL230PE,0.0,0.0,0.0,37.3,37.3,37.3,186.57,43.4,63750,0,0,0.0,0,F1,3750,,,,,
2024-07-24,2024-07-24,FO,NSE,STO,149076,,NATIONALUM,,2024-09-26,2024-09-26,220.0,PE,NATIONALUM24SEP220PE,0.0,0.0,0.0,41.95,0.0,41.95,186.57,38.25,0,0,0,0.0,0,F1,3750,,,,,
2024-07-24,2024-07-24,FO,NSE,STO,149075,,NATIONALUM,,2024-09-26,2024-09-26,220.0,CE,NATIONALUM24SEP220CE,0.0,0.0,0.0,11.0,0.0,11.0,186.57,7.6,0,0,0,0.0,0,F1,3750,,,,,
2024-07-24,2024-07-24,FO,NSE,STO,128638,,NATIONALUM,,2024-08-29,2024-08-29,220.0,CE,NATIONALUM24AUG220CE,2.1,2.15,1.65,1.7,1.75,2.1,186.57,1.7,1526250,56250,142,118133812.5,116,F1,3750,,,,,
2024-07-24,2024-07-24,FO,NSE,STO,149071,,NATIONALUM,,2024-09-26,2024-09-26,200.0,CE,NATIONALUM24SEP200CE,0.0,0.0,0.0,19.0,19.0,19.0,186.57,13.3,3750,0,0,0.0,0,F1,3750,,,,,
2024-07-24,2024-07-24,FO,NSE,STO,134559,,NATIONALUM,,2024-07-25,2024-07-25,200.0,PE,NATIONALUM24JUL200PE,12.4,14.75,12.1,14.0,13.4,15.95,186.57,14.0,1203750,-52500,84,67247625.0,71,F1,3750,,,,,
2024-07-24,2024-07-24,FO,NSE,STO,149079,,NATIONALUM,,2024-09-26,2024-09-26,240.0,CE,NATIONALUM24SEP240CE,0.0,0.0,0.0,7.0,0.0,7.0,186.57,4.15,0,0,0,0.0,0,F1,3750,,,,,
2024-07-24,2024-07-24,FO,NSE,STO,128491,,NATIONALUM,,2024-07-25,2024-07-25,227.5,CE,NATIONALUM24JUL227.5CE,0.0,0.0,0.0,0.05,0.05,0.05,186.57,0.0,210000,0,0,0.0,0,F1,3750,,,,,
2024-07-24,2024-07-24,FO,NSE,STO,128627,,NATIONALUM,,2024-08-29,2024-08-29,190.0,PE,NATIONALUM24AUG190PE,11.55,11.55,10.05,10.4,10.4,12.7,186.57,10.4,712500,142500,154,115974750.0,127,F1,3750,,,,,
