INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,27-Jan-2022,0.0,XX,37000.5,37987.95,36850.4,37795.2,37795.2,206934,1943656.64,2208425,15650,05-JAN-2022,
FUTIDX,BANKNIFTY,24-Feb-2022,0.0,XX,37100.0,38105.5,36976.0,37922.9,37922.9,8486,80024.49,138875,21275,05-JAN-2022,
FUTIDX,BANKNIFTY,31-Mar-2022,0.0,XX,37200.0,38255.9,37174.8,38081.05,38081.05,1777,16831.29,20750,6450,05-JAN-2022,
FUTIDX,FINNIFTY,25-Jan-2022,0.0,XX,18087.8,18439.95,18087.8,18431.15,18431.15,64,467.28,1880,200,05-JAN-2022,
FUTIDX,FINNIFTY,22-Feb-2022,0.0,XX,18283.9,18433.5,18283.9,18433.5,18433.5,2,14.68,0,0,05-JAN-2022,
FUTIDX,FINNIFTY,29-Mar-2022,0.0,XX,0.0,0.0,0.0,17355.1,18508.0,0,0.0,0,0,05-JAN-2022,
FUTIDX,NIFTY,27-Jan-2022,0.0,XX,17840.0,17985.0,17786.0,17960.95,17960.95,158412,1417539.96,10564600,25500,05-JAN-2022,
FUTIDX,NIFTY,24-Feb-2022,0.0,XX,17931.0,18030.75,17832.0,18009.25,18009.25,8551,76756.12,868750,29750,05-JAN-2022,
FUTIDX,NIFTY,31-Mar-2022,0.0,XX,17921.65,18080.1,17880.0,18064.7,18064.7,4008,36059.93,176150,70400,05-JAN-2022,
FUTSTK,AARTIIND,27-Jan-2022,0.0,XX,987.6,1004.5,987.55,1001.75,1001.75,1788,15145.02,2261850,-25500,05-JAN-2022,
FUTSTK,AARTIIND,24-Feb-2022,0.0,XX,1001.05,1006.75,991.9,1004.05,1004.05,71,603.12,74800,4250,05-JAN-2022,
FUTSTK,AARTIIND,31-Mar-2022,0.0,XX,998.95,1009.3,997.45,1009.3,1008.8,7,59.57,11900,1700,05-JAN-2022,
FUTSTK,ABBOTINDIA,27-Jan-2022,0.0,XX,19049.95,19260.0,18900.0,18945.65,18945.65,360,1715.94,31950,-275,05-JAN-2022,
FUTSTK,ABBOTINDIA,24-Feb-2022,0.0,XX,18943.75,19160.0,18943.75,19000.7,19000.7,11,52.38,825,150,05-JAN-2022,
FUTSTK,ABBOTINDIA,31-Mar-2022,0.0,XX,19262.7,19262.7,19175.15,19175.15,19047.15,3,14.4,75,75,05-JAN-2022,
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,132.6,132.6,128.1,130.0,130.0,1551,8852.88,8698800,409200,05-JAN-2022,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,130.2,131.35,128.9,130.3,130.3,42,240.5,294800,39600,05-JAN-2022,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,130.25,131.15,130.0,130.75,130.75,13,74.68,66000,22000,05-JAN-2022,
FUTSTK,ABFRL,27-Jan-2022,0.0,XX,286.7,290.8,283.4,288.2,288.2,1973,14758.02,10745800,-7800,05-JAN-2022,
FUTSTK,ABFRL,24-Feb-2022,0.0,XX,287.45,291.5,285.0,289.15,289.15,38,285.44,197600,15600,05-JAN-2022,
FUTSTK,ABFRL,31-Mar-2022,0.0,XX,292.25,292.25,292.25,292.25,289.9,1,7.59,31200,2600,05-JAN-2022,
FUTSTK,ACC,27-Jan-2022,0.0,XX,2230.0,2257.95,2226.8,2253.25,2253.25,3669,20605.91,2592250,83000,05-JAN-2022,
FUTSTK,ACC,24-Feb-2022,0.0,XX,2231.1,2262.9,2231.1,2260.6,2260.6,99,558.36,49500,-9750,05-JAN-2022,
FUTSTK,ACC,31-Mar-2022,0.0,XX,2251.0,2259.0,2244.0,2258.65,2258.65,28,157.37,19250,3500,05-JAN-2022,
FUTSTK,ADANIENT,27-Jan-2022,0.0,XX,1726.7,1751.4,1707.0,1719.6,1719.6,8327,71915.18,21097000,257500,05-JAN-2022,
FUTSTK,ADANIENT,24-Feb-2022,0.0,XX,1732.85,1756.1,1714.0,1726.8,1726.8,242,2098.92,102500,4000,05-JAN-2022,
FUTSTK,ADANIENT,31-Mar-2022,0.0,XX,1754.95,1760.2,1721.1,1730.55,1730.55,31,270.1,14500,4500,05-JAN-2022,
FUTSTK,ADANIPORTS,27-Jan-2022,0.0,XX,740.85,762.6,736.8,757.55,757.55,7150,67170.48,86270000,0,05-JAN-2022,
FUTSTK,ADANIPORTS,24-Feb-2022,0.0,XX,743.3,765.0,743.3,760.4,760.4,413,3884.91,405000,21250,05-JAN-2022,
FUTSTK,ADANIPORTS,31-Mar-2022,0.0,XX,750.0,765.0,747.0,763.95,763.95,50,472.32,40000,22500,05-JAN-2022,
FUTSTK,ALKEM,27-Jan-2022,0.0,XX,3626.45,3630.85,3577.6,3610.9,3610.9,565,4077.81,307000,-8800,05-JAN-2022,
FUTSTK,ALKEM,24-Feb-2022,0.0,XX,3592.05,3617.8,3570.1,3604.4,3623.05,7,50.4,9200,-600,05-JAN-2022,
FUTSTK,ALKEM,31-Mar-2022,0.0,XX,0.0,0.0,0.0,3648.65,3637.3,0,0.0,800,0,05-JAN-2022,
FUTSTK,AMARAJABAT,27-Jan-2022,0.0,XX,638.4,641.8,635.75,637.8,637.8,1061,6773.72,8164000,-91000,05-JAN-2022,
FUTSTK,AMARAJABAT,24-Feb-2022,0.0,XX,639.5,642.5,637.2,638.8,638.8,89,568.87,568000,7000,05-JAN-2022,
FUTSTK,AMARAJABAT,31-Mar-2022,0.0,XX,636.5,644.0,636.5,641.0,641.0,9,57.66,46000,6000,05-JAN-2022,
FUTSTK,AMBUJACEM,27-Jan-2022,0.0,XX,390.25,395.5,390.0,394.4,394.4,2083,12280.98,12907500,73500,05-JAN-2022,
FUTSTK,AMBUJACEM,24-Feb-2022,0.0,XX,394.0,396.6,392.4,395.6,395.6,61,360.81,198000,0,05-JAN-2022,
FUTSTK,AMBUJACEM,31-Mar-2022,0.0,XX,395.35,396.0,393.55,393.55,397.5,7,41.47,16500,-1500,05-JAN-2022,
FUTSTK,APLLTD,27-Jan-2022,0.0,XX,831.75,844.25,814.85,817.4,817.4,1457,8454.68,1807400,116200,05-JAN-2022,
FUTSTK,APLLTD,24-Feb-2022,0.0,XX,843.25,843.25,817.95,820.55,820.55,41,238.27,35700,4900,05-JAN-2022,
FUTSTK,APLLTD,31-Mar-2022,0.0,XX,832.5,832.5,832.5,832.5,824.4,1,5.82,700,700,05-JAN-2022,
FUTSTK,APOLLOHOSP,27-Jan-2022,0.0,XX,4961.15,5159.8,4940.0,4985.0,4985.0,8427,52966.14,2281375,10750,05-JAN-2022,
