INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,27-Jan-2022,0.0,XX,37000.0,38050.0,37000.0,37934.55,37982.1,159164,1490899.43,371600,-588500,27-JAN-2022,
FUTIDX,BANKNIFTY,24-Feb-2022,0.0,XX,37250.0,38299.95,37050.0,38168.05,38168.05,154157,1453573.07,1897100,620000,27-JAN-2022,
FUTIDX,BANKNIFTY,31-Mar-2022,0.0,XX,37332.25,38470.0,37332.25,38330.3,38330.3,4772,45127.87,92175,13075,27-JAN-2022,
FUTIDX,FINNIFTY,22-Feb-2022,0.0,XX,17652.2,17968.8,17415.1,17934.4,17934.4,45,317.21,920,-360,27-JAN-2022,
FUTIDX,FINNIFTY,29-Mar-2022,0.0,XX,17539.55,17539.55,17539.55,17539.55,17888.3,1,7.01,40,40,27-JAN-2022,
FUTIDX,FINNIFTY,26-Apr-2022,0.0,XX,0.0,0.0,0.0,17975.45,17946.0,0,0.0,0,0,27-JAN-2022,
FUTIDX,MIDCPNIFTY,01-Feb-2022,0.0,XX,0.0,0.0,0.0,7557.35,7353.25,0,0.0,0,0,27-JAN-2022,
FUTIDX,MIDCPNIFTY,08-Feb-2022,0.0,XX,0.0,0.0,0.0,7563.2,7359.0,0,0.0,0,0,27-JAN-2022,
FUTIDX,MIDCPNIFTY,15-Feb-2022,0.0,XX,0.0,0.0,0.0,7569.1,7364.7,0,0.0,0,0,27-JAN-2022,
FUTIDX,MIDCPNIFTY,22-Feb-2022,0.0,XX,7290.0,7363.6,7225.65,7359.35,7359.35,23,125.78,1350,150,27-JAN-2022,
FUTIDX,MIDCPNIFTY,28-Feb-2022,0.0,XX,6920.0,7620.0,6920.0,7344.95,7376.3,3,16.41,300,75,27-JAN-2022,
FUTIDX,MIDCPNIFTY,08-Mar-2022,0.0,XX,0.0,0.0,0.0,7588.0,7383.05,0,0.0,0,0,27-JAN-2022,
FUTIDX,MIDCPNIFTY,15-Mar-2022,0.0,XX,0.0,0.0,0.0,7594.1,7389.0,0,0.0,0,0,27-JAN-2022,
FUTIDX,MIDCPNIFTY,22-Mar-2022,0.0,XX,0.0,0.0,0.0,7600.2,7395.0,0,0.0,0,0,27-JAN-2022,
FUTIDX,MIDCPNIFTY,29-Mar-2022,0.0,XX,0.0,0.0,0.0,7606.3,7400.95,0,0.0,0,0,27-JAN-2022,
FUTIDX,MIDCPNIFTY,26-Apr-2022,0.0,XX,0.0,0.0,0.0,7440.25,7424.8,0,0.0,0,0,27-JAN-2022,
FUTIDX,NIFTY,27-Jan-2022,0.0,XX,16995.0,17174.0,16862.0,17097.35,17110.15,240698,2045958.88,3719850,-1441000,27-JAN-2022,
FUTIDX,NIFTY,24-Feb-2022,0.0,XX,17100.0,17214.35,16879.0,17149.55,17149.55,275661,2348941.34,10268400,3357000,27-JAN-2022,
FUTIDX,NIFTY,31-Mar-2022,0.0,XX,17101.0,17268.65,16943.05,17190.1,17190.1,16379,140116.97,666900,120850,27-JAN-2022,
FUTSTK,AARTIIND,27-Jan-2022,0.0,XX,973.05,983.3,947.45,974.25,972.8,1152,9414.49,513400,-278800,27-JAN-2022,
FUTSTK,AARTIIND,24-Feb-2022,0.0,XX,969.5,981.1,943.95,957.4,957.4,1881,15287.46,1944800,232050,27-JAN-2022,
FUTSTK,AARTIIND,31-Mar-2022,0.0,XX,972.0,972.0,950.0,958.85,958.85,21,170.82,26350,5100,27-JAN-2022,
FUTSTK,ABBOTINDIA,27-Jan-2022,0.0,XX,16500.1,16816.55,15969.65,16191.35,16219.3,956,3875.49,4000,-10475,27-JAN-2022,
FUTSTK,ABBOTINDIA,24-Feb-2022,0.0,XX,16550.0,16599.0,16040.0,16231.25,16231.25,1103,4487.03,55850,9350,27-JAN-2022,
FUTSTK,ABBOTINDIA,31-Mar-2022,0.0,XX,16837.45,16837.45,16275.0,16415.5,16337.35,21,86.35,2250,450,27-JAN-2022,
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,113.95,118.65,113.05,116.95,116.95,2001,10237.31,932800,-4070000,27-JAN-2022,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,115.25,118.65,113.4,117.5,117.5,2970,15222.99,16341600,5596800,27-JAN-2022,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,118.05,118.55,114.8,118.05,118.05,33,169.88,264000,52800,27-JAN-2022,
FUTSTK,ABFRL,27-Jan-2022,0.0,XX,285.5,293.75,280.1,284.75,284.3,1754,13067.4,431600,-1973400,27-JAN-2022,
FUTSTK,ABFRL,24-Feb-2022,0.0,XX,282.0,294.95,281.0,285.95,285.95,3895,29052.81,13124800,3380000,27-JAN-2022,
FUTSTK,ABFRL,31-Mar-2022,0.0,XX,291.0,295.2,283.3,285.5,285.5,29,217.24,169000,20800,27-JAN-2022,
FUTSTK,ACC,27-Jan-2022,0.0,XX,2175.7,2182.0,2124.25,2173.8,2167.7,2348,12671.71,239250,-300000,27-JAN-2022,
FUTSTK,ACC,24-Feb-2022,0.0,XX,2160.0,2189.1,2131.6,2179.1,2179.1,3099,16781.19,2586500,285500,27-JAN-2022,
FUTSTK,ACC,31-Mar-2022,0.0,XX,2131.1,2188.0,2131.1,2183.15,2183.15,212,1151.18,123000,27000,27-JAN-2022,
FUTSTK,ADANIENT,27-Jan-2022,0.0,XX,1714.95,1722.35,1652.1,1685.85,1685.95,13558,114573.06,483000,-3503500,27-JAN-2022,
FUTSTK,ADANIENT,24-Feb-2022,0.0,XX,1725.4,1729.5,1657.0,1693.5,1693.5,19906,168893.36,20472000,3853500,27-JAN-2022,
FUTSTK,ADANIENT,31-Mar-2022,0.0,XX,1727.9,1727.9,1670.0,1701.9,1701.9,192,1635.58,126500,43000,27-JAN-2022,
